src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
192.168.154.39,18.216.68.206,35824,443,6,0.6388118267059326,10,1795,15.654062091438625,2809.904145413233,179.5,66,583,173.7196016573835,0.07090904977586535,0.05897488269483249,0.0012323856353759766,0.12619709968566895,1,0,1,0,4,9,15,64240,0,benign
18.216.68.206,192.168.154.39,443,35824,6,0.6392898559570312,9,9409,14.078121084100104,14717.893475588653,1045.4444444444443,66,4162,1498.6215425442736,0.07985857129096985,0.06647163966971788,2.384185791015625e-07,0.1497499942779541,1,0,1,0,6,9,17,26847,0,benign
192.168.154.39,18.216.68.206,35824,443,6,0.0023756027221679688,2,108,841.891609795263,45462.146928944196,54.0,54,54,0.0,0.0001125335693359375,0,0.0001125335693359375,0.0001125335693359375,0,2,0,0,0,0,2,0,0,benign
192.168.154.39,18.216.68.206,33936,443,6,0.6503336429595947,10,1883,15.376722561193564,2895.436858272748,188.3,66,583,181.756888911168,0.07266714837816027,0.05891532927469285,0.00041484832763671875,0.1263573169708252,1,0,1,0,4,9,15,64240,0,benign
18.216.68.206,192.168.154.39,443,33936,6,0.6564252376556396,9,9409,13.710624582538363,14333.696299678162,1045.4444444444443,66,4162,1498.6215425442736,0.08192533254623413,0.06888950951168754,2.384185791015625e-07,0.16132736206054688,1,0,1,0,6,9,17,26847,0,benign
192.168.154.39,18.216.68.206,33936,443,6,0.004022121429443359,2,108,497.2500296384114,26851.501600474214,54.0,54,54,0.0,0.00014781951904296875,0,0.00014781951904296875,0.00014781951904296875,0,2,0,0,0,0,2,0,0,benign
192.168.154.39,3.147.106.248,43882,443,6,0.6508669853210449,10,1881,15.364122356071611,2889.9914151770704,188.1,66,583,181.5571229362508,0.07233924335903591,0.0600591057346868,0.0006897449493408203,0.12742924690246582,1,0,1,0,4,9,15,64240,0,benign
3.147.106.248,192.168.154.39,443,43882,6,0.6520216464996338,9,9409,13.803222712491731,14430.502500203856,1045.4444444444443,66,4162,1498.6215425442736,0.08139663934707642,0.06766968035189311,0.0,0.1553945541381836,1,0,1,0,6,9,17,26847,0,benign
192.168.154.39,3.147.106.248,43882,443,6,0.00037288665771484375,2,108,5363.560102301791,289632.24552429665,54.0,54,54,0.0,6.794929504394531e-05,0,6.794929504394531e-05,6.794929504394531e-05,0,2,0,0,0,0,2,0,0,benign
192.168.154.39,3.147.106.248,43898,443,6,0.6501579284667969,10,1935,15.380878340716402,2976.199958928624,193.5,66,583,187.20947862992645,0.07230798403422038,0.060593243449748535,0.0007073879241943359,0.12863945960998535,1,0,1,0,4,9,15,64240,0,benign
3.147.106.248,192.168.154.39,443,43898,6,0.6517210006713867,9,9409,13.809590285917478,14437.159444466393,1045.4444444444443,66,4162,1498.6215425442736,0.08135417103767395,0.06801212542884198,0.0,0.15451383590698242,1,0,1,0,6,9,17,26847,0,benign
192.168.154.39,3.147.106.248,43898,443,6,0.0005993843078613281,2,108,3336.757358790772,180184.89737470166,54.0,54,54,0.0,6.556510925292969e-05,0,6.556510925292969e-05,6.556510925292969e-05,0,2,0,0,0,0,2,0,0,benign
192.168.155.253,192.168.159.255,137,137,17,19.90200448036194,26,2392,1.3064010725982493,120.18889867903894,92.0,92,92,0.0,0.7959768104553223,0.05325388139666302,0.752044677734375,0.8771567344665527,0,0,0,0,0,0,0,,0,benign
192.168.159.92,224.0.0.251,5353,5353,17,18.57306170463562,24,4616,1.2921940594215482,248.53199076207775,192.33333333333334,83,310,109.72600922957727,0.807474364405093,1.8952518044263664,0.0,7.980513334274292,0,0,0,0,0,0,0,,0,benign
192.168.158.210,224.0.0.251,5353,5353,17,17.495734453201294,27,2193,1.5432332990776307,125.34483795841645,81.22222222222223,81,87,1.1547005383792515,0.6730196292583759,1.8246090445980636,2.384185791015625e-07,9.297941207885742,0,0,0,0,0,0,0,,0,benign
192.168.158.210,192.168.159.255,137,137,17,8.695262670516968,16,1472,1.8400824226105565,169.28758288017121,92.0,92,92,0.0,0.579683001836141,0.2184827878997482,0.2644321918487549,0.8983702659606934,0,0,0,0,0,0,0,,0,benign
192.168.158.210,224.0.0.252,53908,5355,17,0.4154167175292969,2,150,4.8144427405210335,361.0832055390775,75.0,75,75,0.0,0.41701221466064453,0,0.41701221466064453,0.41701221466064453,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.252,62546,5355,17,1e-06,1,75,1000000.0,75000000.0,75.0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.154.39,142.250.179.196,60490,443,6,0.2127089500427246,12,1752,56.415115572662486,8236.606873608724,146.0,66,583,171.35237484095856,0.019341793927279385,0.028137756509289208,6.389617919921875e-05,0.08292651176452637,1,0,1,0,3,11,16,64240,0,benign
192.168.154.39,142.250.179.196,39588,80,6,0.29918479919433594,6,653,20.054494801063374,2182.5975175157305,108.83333333333333,66,315,101.05130710023828,0.05971975326538086,0.09456795417693788,0.00010013580322265625,0.21762704849243164,1,0,1,0,1,5,8,64240,0,benign
142.250.179.196,192.168.154.39,80,39588,6,0.29886364936828613,5,1349,16.730037294828584,4513.764062144752,269.8,66,846,336.9542995719152,0.07468342781066895,0.10323731571161975,2.384185791015625e-07,0.21978473663330078,1,0,1,0,2,5,9,65160,0,benign
142.250.179.196,192.168.154.39,443,60490,6,0.21403098106384277,16,18269,74.75553268256711,85356.80166111366,1141.8125,66,2866,1042.6687053741791,0.014218568801879883,0.025729580665312606,0.0,0.08596944808959961,1,0,1,0,11,16,29,65535,0,benign
192.168.154.39,142.250.179.196,39592,80,6,0.07396364212036133,7,723,94.64109391218015,9775.072985500892,103.28571428571429,66,307,89.96057337469989,0.010246594746907553,0.01923776994537852,0.0007150173187255859,0.049188852310180664,1,0,1,0,1,6,9,64240,0,benign
142.250.179.196,192.168.154.39,80,39592,6,0.07504105567932129,6,2749,79.95623123480914,36633.27994408172,458.1666666666667,66,1057,441.82232477169674,0.012381172180175782,0.018103627859660503,2.384185791015625e-07,0.043528079986572266,1,0,1,0,3,6,11,65160,0,benign
192.168.153.59,192.168.159.255,137,137,17,20.008217096328735,25,2300,1.2494866423948987,114.95277110033068,92.0,92,92,0.0,0.8336516122023264,0.22735450389693945,0.7505207061767578,1.8763253688812256,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.251,5353,5353,17,1e-06,1,87,1000000.0,87000000.0,87.0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.153.125,224.0.0.251,5353,5353,17,1e-06,1,87,1000000.0,87000000.0,87.0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.155.253,239.255.255.250,54978,1900,17,3.013170003890991,4,848,1.3275055821061166,281.4311834064967,212.0,212,212,0.0,1.0045973459879558,0.0037721622893549514,1.0014538764953613,1.0087802410125732,0,0,0,0,0,0,0,,0,benign
192.168.152.223,192.168.159.255,138,138,17,3.0220375061035156,4,912,1.3236103099055931,301.7831506584752,228.0,228,228,0.0,1.0073471864064534,0.005122233350966909,1.0038628578186035,1.013228416442871,0,0,0,0,0,0,0,,0,benign
192.168.158.5,192.168.159.255,137,137,17,7.930417537689209,11,1012,1.3870644197134185,127.6099266136345,92.0,92,92,0.0,0.7929540157318116,0.0557095655974784,0.7495591640472412,0.8772411346435547,0,0,0,0,0,0,0,,0,benign
192.168.155.253,239.255.255.250,53537,1900,17,1e-06,1,167,1000000.0,167000000.0,167.0,167,167,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.153.59,224.0.0.252,51875,5355,17,0.418276309967041,2,150,4.781528268138337,358.6146201103753,75.0,75,75,0.0,0.4178295135498047,0,0.4178295135498047,0.4178295135498047,0,0,0,0,0,0,0,,0,benign
192.168.152.106,255.255.255.255,60394,1228,17,12.012892723083496,2,324,0.16648779324873847,26.971022506295633,162.0,162,162,0.0,12.013093709945679,0,12.013093709945679,12.013093709945679,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.251,5353,5353,17,7.176422834396362,7,567,0.975416326703776,79.00872246300585,81.0,81,81,0.0,1.1958167155583699,0.2062026227032469,1.0050511360168457,1.387402057647705,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,62211,5355,17,0.41455793380737305,2,150,4.824416171780016,361.8312128835012,75.0,75,75,0.0,0.4148075580596924,0,0.4148075580596924,0.4148075580596924,0,0,0,0,0,0,0,,0,benign
192.168.159.52,239.255.255.250,58309,1900,17,1.0104749202728271,2,424,1.979267332493519,419.6046744886261,212.0,212,212,0.0,1.0108833312988281,0,1.0108833312988281,1.0108833312988281,0,0,0,0,0,0,0,,0,benign
192.168.153.125,239.255.255.250,62373,1900,17,1e-06,1,167,1000000.0,167000000.0,167.0,167,167,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.154.39,149.156.124.59,42337,53,17,1e-06,1,141,1000000.0,141000000.0,141.0,141,141,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
149.156.124.59,192.168.154.39,53,42337,17,1e-06,1,223,1000000.0,223000000.0,223.0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.153.150,192.168.159.255,48485,21027,17,1e-06,1,315,1000000.0,315000000.0,315.0,315,315,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.210,224.0.0.252,55166,5355,17,0.4304008483886719,2,150,4.646830989036312,348.5123241777234,75.0,75,75,0.0,0.42561960220336914,0,0.42561960220336914,0.42561960220336914,0,0,0,0,0,0,0,,0,benign
192.168.158.210,224.0.0.252,51891,5355,17,0.4301614761352539,2,150,4.649416814282896,348.70626107121717,75.0,75,75,0.0,0.42497825622558594,0,0.42497825622558594,0.42497825622558594,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.252,62571,5355,17,0.42009806632995605,2,150,4.76079315830306,357.0594868727295,75.0,75,75,0.0,0.4145386219024658,0,0.4145386219024658,0.4145386219024658,0,0,0,0,0,0,0,,0,benign
192.168.158.210,224.0.0.252,54254,5355,17,0.41610217094421387,2,150,4.806511812859868,360.4883859644901,75.0,75,75,0.0,0.42455005645751953,0,0.42455005645751953,0.42455005645751953,0,0,0,0,0,0,0,,0,benign
192.168.153.59,192.168.159.255,51430,51007,17,17.54421377182007,6,1116,0.3419930968714792,63.61071601809513,186.0,186,186,0.0,3.5059535026550295,0.0015875340088115648,3.5038812160491943,3.508171796798706,0,0,0,0,0,0,0,,0,benign
192.168.153.59,224.0.0.252,50948,5355,17,0.4180614948272705,2,150,4.783985190567085,358.7988892925313,75.0,75,75,0.0,0.42140698432922363,0,0.42140698432922363,0.42140698432922363,0,0,0,0,0,0,0,,0,benign
192.168.154.150,192.168.159.255,64309,6646,17,1e-06,1,212,1000000.0,212000000.0,212.0,212,212,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,64597,5355,17,0.4186060428619385,2,150,4.777761893560684,358.3321420170513,75.0,75,75,0.0,0.42086219787597656,0,0.42086219787597656,0.42086219787597656,0,0,0,0,0,0,0,,0,benign
192.168.156.16,224.0.0.251,5353,5353,17,4.713144779205322,2,321,0.4243451227774967,68.10739220578822,160.5,135,186,36.062445840513924,4.719994783401489,0,4.719994783401489,4.719994783401489,0,0,0,0,0,0,0,,0,benign
192.168.159.17,192.168.159.255,138,138,17,1e-06,1,243,1000000.0,243000000.0,243.0,243,243,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.154.39,142.250.179.196,39348,80,6,0.5406630039215088,6,657,11.097485784085672,1215.174693357381,109.5,66,319,102.683494291926,0.1081812858581543,0.21971696983717348,8.392333984375e-05,0.5002162456512451,1,0,1,0,1,5,8,64240,0,benign
142.250.179.196,192.168.154.39,80,39348,6,0.5393192768096924,5,1002,9.270946200138015,1857.8976185076583,200.4,66,497,193.51821619682215,0.1350163221359253,0.2450694392303327,0.0,0.5017828941345215,1,0,1,0,2,5,9,65160,0,benign
192.168.159.193,224.0.0.251,5353,5353,17,0.8880338668823242,13,8701,14.639081328778495,9798.04974166936,669.3076923076923,84,1514,699.4753253469565,0.0737486481666565,0.12972488731475182,0.0,0.304002046585083,0,0,0,0,0,0,0,,0,benign
192.168.155.212,224.0.0.251,5353,5353,17,0.05235719680786133,3,2611,57.29871312647426,49868.97999107476,870.3333333333334,250,1514,632.3229660018156,0.00448763370513916,0.0017244804536717402,0.0032682418823242188,0.0057070255279541016,0,0,0,0,0,0,0,,0,benign
192.168.159.193,224.0.0.251,,,17,0.6222121715545654,46,65592,73.9297656056315,105417.41707836046,1425.9130434782608,345,1514,293.1334035392954,0.013832081688774957,0.06367602924222177,0.0,0.30643391609191895,0,0,0,0,0,0,0,,0,benign
192.168.155.212,224.0.0.251,,,17,0.00018215179443359375,2,2949,10979.853403141362,16189793.842931937,1474.5,1435,1514,55.86143571373726,2.384185791015625e-07,0,2.384185791015625e-07,2.384185791015625e-07,0,0,0,0,0,0,0,,0,benign
192.168.154.254,224.0.0.251,5353,5353,17,0.7367880344390869,6,969,8.143454724489073,1315.1679380049852,161.5,87,275,84.36053579725534,0.15724430084228516,0.14329271828681825,2.384185791015625e-07,0.2622354030609131,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.252,57679,5355,17,0.41271305084228516,2,150,4.845981962330247,363.4486471747685,75.0,75,75,0.0,0.4131481647491455,0,0.4131481647491455,0.4131481647491455,0,0,0,0,0,0,0,,0,benign
192.168.158.210,224.0.0.252,58006,5355,17,0.4134340286254883,2,150,4.837531169481243,362.8148377110932,75.0,75,75,0.0,0.4135270118713379,0,0.4135270118713379,0.4135270118713379,0,0,0,0,0,0,0,,0,benign
192.168.153.59,224.0.0.252,58909,5355,17,0.4229869842529297,2,150,4.728277877231509,354.62084079236314,75.0,75,75,0.0,0.42255496978759766,0,0.42255496978759766,0.42255496978759766,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,61413,5355,17,0.41697001457214355,2,150,4.796507974445637,359.73809808342276,75.0,75,75,0.0,0.41699934005737305,0,0.41699934005737305,0.41699934005737305,0,0,0,0,0,0,0,,0,benign
192.168.152.141,192.168.159.255,57621,57621,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.154.39,216.58.214.14,41988,443,6,0.1585233211517334,11,1689,69.39042104392423,10654.58374028982,153.54545454545453,66,583,178.21636492553856,0.015625190734863282,0.0188307405971771,0.00013566017150878906,0.04404449462890625,1,0,1,0,3,10,15,64240,0,benign
216.58.214.14,192.168.154.39,443,41988,6,0.15517973899841309,11,10045,70.88554260368029,64731.38867763351,913.1818181818181,66,2866,1147.1819226418988,0.015621542930603027,0.02406375163239801,0.0,0.0707857608795166,1,0,1,0,7,11,20,65535,0,benign
192.168.157.248,192.168.159.255,57621,57621,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.252,64075,5355,17,0.41175150871276855,2,150,4.857298534867468,364.29739011506007,75.0,75,75,0.0,0.4108426570892334,0,0.4108426570892334,0.4108426570892334,0,0,0,0,0,0,0,,0,benign
192.168.154.39,149.156.124.59,51092,53,17,1e-06,1,141,1000000.0,141000000.0,141.0,141,141,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
149.156.124.59,192.168.154.39,53,51092,17,1e-06,1,223,1000000.0,223000000.0,223.0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.210,224.0.0.252,53741,5355,17,0.38603639602661133,2,150,5.180858645934852,388.5643984451139,75.0,75,75,0.0,0.3896040916442871,0,0.3896040916442871,0.3896040916442871,0,0,0,0,0,0,0,,0,benign
192.168.158.204,192.168.159.255,138,138,17,1e-06,1,243,1000000.0,243000000.0,243.0,243,243,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.154.133,224.0.0.251,5353,5353,17,20.018927335739136,61,4781,3.0471163103279113,238.8239849127499,78.37704918032787,69,82,3.7866605095001122,0.3336911916732788,1.81069657682254,0.0,10.00395655632019,0,0,0,0,0,0,0,,0,benign
192.168.153.48,224.0.0.251,5353,5353,17,0.0005075931549072266,2,178,3940.1634570220763,350674.54767496476,89.0,83,95,8.48528137423857,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,0,benign
192.168.157.248,224.0.0.251,5353,5353,17,1e-06,1,92,1000000.0,92000000.0,92.0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.154.39,224.0.0.251,5353,5353,17,0.0005214214324951172,2,194,3835.6689529035207,372059.8884316415,97.0,91,103,8.48528137423857,0.0003368854522705078,0,0.0003368854522705078,0.0003368854522705078,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,54245,5355,17,0.4127168655395508,2,150,4.845937171444087,363.4452878583065,75.0,75,75,0.0,0.4139280319213867,0,0.4139280319213867,0.4139280319213867,0,0,0,0,0,0,0,,0,benign
192.168.158.126,224.0.0.252,49152,5355,17,0.4254016876220703,2,130,4.701438800536243,305.5935220348558,65.0,65,65,0.0,0.4256594181060791,0,0.4256594181060791,0.4256594181060791,0,0,0,0,0,0,0,,0,benign
192.168.158.126,224.0.0.251,5353,5353,17,1e-06,1,129,1000000.0,129000000.0,129.0,129,129,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.6,192.168.159.255,57621,57621,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.157.237,224.0.0.251,50248,5353,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.157.237,224.0.0.251,54482,5353,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.157.237,224.0.0.251,38244,5353,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.157.237,224.0.0.251,47652,5353,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
