src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
192.168.154.39,162.159.135.42,46990,443,6,0.19379973411560059,12,1645,61.91958959470016,8488.143740273481,137.08333333333334,66,583,158.00544198529903,0.014850746501575817,0.027020496377010032,8.678436279296875e-05,0.09073567390441895,1,0,1,0,3,11,16,64240,0,benign
162.159.135.42,192.168.154.39,443,46990,6,0.17812585830688477,27,26805,151.57821697893493,150483.48541186485,992.7777777777778,66,2904,809.4283516224623,0.0065996646881103516,0.017206862484763625,0.0,0.0747222900390625,1,0,1,0,23,27,52,65535,0,benign
192.168.154.39,162.159.135.42,33400,443,6,0.9605610370635986,13,2023,13.533757354702356,2106.0608560432975,155.6153846153846,66,583,164.8694121931751,0.07953331867853801,0.18536670723099397,0.00011754035949707031,0.6200416088104248,1,0,1,0,4,12,18,64240,0,benign
162.159.135.42,192.168.154.39,443,33400,6,0.9550015926361084,16,22272,16.753898761398823,23321.427075867163,1392.0,66,5630,1489.0045444300474,0.06368387540181478,0.15080779393060706,0.0,0.5621283054351807,1,0,1,0,11,16,29,65535,0,benign
192.168.154.39,162.159.135.42,33406,443,6,0.17873358726501465,10,1536,55.949193170798075,8593.796071034585,153.6,66,583,173.35140931388793,0.019480201933119033,0.02947927776651239,0.0001518726348876953,0.09096455574035645,1,0,1,0,3,9,14,64240,0,benign
162.159.135.42,192.168.154.39,443,33406,6,0.1707923412322998,10,18385,58.55063481095267,107645.34209993649,1838.5,66,5630,1868.4143158185113,0.019244273503621418,0.026869746825802017,0.0,0.07461810111999512,1,0,1,0,6,10,18,65535,0,benign
192.168.154.39,162.159.135.42,48842,443,6,0.16075658798217773,10,1543,62.20584876502013,9598.362464442605,154.3,66,583,174.18639441701524,0.016912725236680772,0.026031456542801014,9.131431579589844e-05,0.08123922348022461,1,0,1,0,3,9,14,64240,0,benign
162.159.135.42,192.168.154.39,443,48842,6,0.15578174591064453,23,24543,147.64245878456555,157547.34199780837,1067.0869565217392,66,2904,831.1891762049818,0.0069349137219515715,0.016640111634246366,0.0,0.06504631042480469,1,0,1,0,19,23,44,65535,0,benign
192.168.154.39,162.159.135.42,48846,443,6,0.16081738471984863,11,1611,68.40056514513348,10017.57367716455,146.45454545454547,66,583,167.61584867569275,0.01580324172973633,0.022920436869918227,0.0002543926239013672,0.07504391670227051,1,0,1,0,3,10,15,64240,0,benign
162.159.135.42,192.168.154.39,443,48846,6,0.1658802032470703,15,18168,90.42670376800929,109524.82360381285,1211.2,66,2903,808.6855472219806,0.011887073516845703,0.019527996611223158,0.0,0.05775284767150879,1,0,1,0,11,15,28,65535,0,benign
