src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
192.168.154.39,54.160.93.182,38888,443,6,1.4417877197265625,9,1509,6.242250420683889,1046.6173205346654,167.66666666666666,66,583,186.0201601977592,0.18026971817016602,0.34750638600080686,0.00011324882507324219,1.0274558067321777,1,0,1,0,3,8,13,64240,0,benign
54.160.93.182,192.168.154.39,443,38888,6,1.4454271793365479,7,5694,4.8428589831920865,3939.319864327963,813.4285714285714,66,2962,1276.1702939058011,0.24087862173716226,0.4516919787310342,2.384185791015625e-07,1.1529667377471924,1,0,1,0,3,7,12,41352,0,benign
192.168.154.39,54.194.82.94,51498,443,6,0.31786274909973145,14,2626,44.04416698607049,8261.427321815794,187.57142857142858,66,891,251.3727585405064,0.024428697732778695,0.024084234704237296,0.00014472007751464844,0.0678403377532959,1,0,1,0,4,13,19,64240,0,benign
54.194.82.94,192.168.154.39,443,51498,6,0.32007551193237305,21,21373,65.60951780790082,66774.86781467925,1017.7619047619048,66,2962,1285.2094733840825,0.015914034843444825,0.0268231086918032,0.0,0.07475996017456055,1,0,1,0,17,21,40,41352,0,benign
192.168.154.39,54.155.246.232,34552,80,6,0.6722989082336426,4,519,5.949734487163393,771.9780497094501,129.75,66,313,122.22486108262372,0.23969952265421549,0.4144292415691243,3.62396240234375e-05,0.7182409763336182,1,0,1,0,1,3,6,64240,0,benign
54.155.246.232,192.168.154.39,80,34552,6,0.6031675338745117,2,1032,3.315828335707634,1710.967421225139,516.0,66,966,636.3961030678928,0.6267874240875244,0,0.6267874240875244,0.6267874240875244,0,0,1,0,1,2,4,508,0,benign
192.168.154.39,54.194.82.94,42254,443,6,0.2051703929901123,6,686,29.243985511540917,3343.562343486178,114.33333333333333,66,356,118.39200423452027,0.041394376754760744,0.04103741576779346,0.0012826919555664062,0.09186553955078125,0,0,1,0,1,6,8,502,0,benign
192.168.154.39,99.81.174.244,34462,443,6,0.1261742115020752,5,847,39.62774912936757,6712.940702514867,169.4,66,583,231.20942887347826,0.029857516288757324,0.05612219745808206,0.000148773193359375,0.11397314071655273,0,0,1,0,1,5,7,502,0,benign
99.81.174.244,192.168.154.39,443,34462,6,0.15804314613342285,2,2784,12.654772123503314,17615.442795916613,1392.0,66,2718,1875.247183706724,0.11908578872680664,0,0.11908578872680664,0.11908578872680664,0,0,1,0,1,2,4,80,0,benign
192.168.154.39,79.125.89.59,41782,443,6,0.24733567237854004,10,1484,40.430884489218734,5999.94325820006,148.4,66,583,179.15120863548634,0.029609521230061848,0.025561435222064336,0.0015878677368164062,0.07706999778747559,1,0,1,0,2,9,13,64240,0,benign
79.125.89.59,192.168.154.39,443,41782,6,0.21954035758972168,10,23828,45.549711724019595,108535.8530959939,2382.8,66,2962,1221.0608138463501,0.02081343862745497,0.02638861120604576,0.00046753883361816406,0.07304000854492188,0,0,1,0,8,10,19,80,0,benign
192.168.158.210,224.0.0.251,5353,5353,17,30.035152673721313,24,2002,0.799063692491177,66.65522968197234,83.41666666666667,81,139,11.839200423452027,1.3038748243580693,2.34028883282071,0.002259492874145508,9.332293033599854,0,0,0,0,0,0,0,,0,benign
192.168.155.202,224.0.0.251,5353,5353,17,10.222340822219849,5,444,0.48912475987219306,43.43427867665074,88.8,87,96,4.024922359499621,2.5554394721984863,1.1044274052279148,1.9899747371673584,4.2119300365448,0,0,0,0,0,0,0,,0,benign
192.168.155.202,239.255.255.250,55399,1900,17,6.026086091995239,4,668,0.6637807590093022,110.85138675455347,167.0,167,167,0.0,2.0081568559010825,0.00642902705324558,2.001314878463745,2.0140724182128906,0,0,0,0,0,0,0,,0,benign
192.168.159.92,224.0.0.251,5353,5353,17,30.027609825134277,19,3157,0.6327509951889764,105.13657325324203,166.1578947368421,83,310,109.88694349592764,1.6662390894360013,2.9452438285841773,0.0,7.975357294082642,0,0,0,0,0,0,0,,0,benign
192.168.158.210,192.168.159.255,137,137,17,30.793549299240112,24,2208,0.7793840121116614,71.70332911427286,92.0,92,92,0.0,1.3368223542752473,2.265554073053622,0.7495684623718262,11.663220643997192,0,0,0,0,0,0,0,,0,benign
192.168.154.18,239.255.255.250,35378,1900,17,9.999004602432251,6,1002,0.6000597297995547,100.20997487652564,167.0,167,167,0.0,1.9991689205169678,0.0006846778753104086,1.9986844062805176,2.0003721714019775,0,0,0,0,0,0,0,,0,benign
192.168.152.190,239.255.255.250,58778,3702,17,1.9989986419677734,2,1396,1.0005009298211633,698.349649015172,698.0,698,698,0.0,1.9994382858276367,0,1.9994382858276367,1.9994382858276367,0,0,0,0,0,0,0,,0,benign
192.168.154.18,224.0.0.251,5353,5353,17,9.991906642913818,7,608,0.70056699388443,60.84924746881906,86.85714285714286,86,87,0.37796447300922725,1.6657893260320027,0.6583247840287076,0.3529353141784668,1.9995777606964111,0,0,0,0,0,0,0,,0,benign
192.168.158.66,224.0.0.251,5353,5353,17,13.786063432693481,5,439,0.36268511489237465,31.843753087550493,87.8,75,139,28.621670111997307,3.413560390472412,6.554591826024485,4.76837158203125e-07,13.241164207458496,0,0,0,0,0,0,0,,0,benign
192.168.158.210,224.0.0.252,51167,5355,17,0.44333362579345703,2,150,4.5112752194704315,338.34564146028237,75.0,75,75,0.0,0.432403564453125,0,0.432403564453125,0.432403564453125,0,0,0,0,0,0,0,,0,benign
192.168.152.43,224.0.0.252,51856,5355,17,0.4140651226043701,2,150,4.830158085811432,362.26185643585734,75.0,75,75,0.0,0.41396617889404297,0,0.41396617889404297,0.41396617889404297,0,0,0,0,0,0,0,,0,benign
192.168.158.66,192.168.159.255,137,137,17,3.7922990322113037,5,460,1.3184614286823477,121.29845143877598,92.0,92,92,0.0,0.9479504227638245,0.37863927236266387,0.7486832141876221,1.515801191329956,0,0,0,0,0,0,0,,0,benign
192.168.158.66,224.0.0.252,52894,5355,17,1e-06,1,69,1000000.0,69000000.0,69.0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
