src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
192.168.154.39,199.232.17.164,45614,443,6,1.7304255962371826,32,3029,18.492560483145954,1750.4364282327842,94.65625,66,583,106.67333596001725,0.05583956164698447,0.28758076008962175,5.841255187988281e-05,1.6046526432037354,1,0,1,0,3,31,36,64240,0,benign
199.232.17.164,192.168.154.39,443,45614,6,1.729745864868164,39,89099,22.546664681850512,51509.878884312784,2284.5897435897436,66,2954,1142.5654356004648,0.045536354968422336,0.25642954653028927,0.0,1.583317518234253,1,0,1,0,31,39,72,65535,0,benign
192.168.154.39,199.232.17.164,45614,443,6,0.00020933151245117188,2,108,9554.223234624145,515928.0546697039,54.0,54,54,0.0,0.0006861686706542969,0,0.0006861686706542969,0.0006861686706542969,0,2,0,0,0,0,2,0,0,benign
192.168.154.39,199.232.17.164,57878,443,6,0.8542261123657227,25,2523,29.266255898879226,2953.5505453148917,100.92,66,583,115.7619396289932,0.03554712732632955,0.15300858353804364,6.437301635742188e-05,0.7528018951416016,1,0,1,0,3,24,29,64240,0,benign
199.232.17.164,192.168.154.39,443,57878,6,0.853668212890625,29,57378,33.97104350623816,67213.46670003218,1978.551724137931,66,2954,1229.7395655238463,0.0304694516318185,0.13816043975160563,0.0,0.7330937385559082,1,0,1,0,20,29,51,65535,0,benign
192.168.154.39,199.232.17.164,57878,443,6,0.0005102157592773438,2,108,3919.910280373832,211675.15514018692,54.0,54,54,0.0,7.700920104980469e-05,0,7.700920104980469e-05,7.700920104980469e-05,0,2,0,0,0,0,2,0,0,benign
192.168.154.39,199.232.17.164,57888,443,6,0.17129111289978027,46,3900,268.54866677709003,22768.25653110111,84.78260869565217,66,583,85.74455941107304,0.0038396464453803168,0.009592349164827041,5.316734313964844e-05,0.05153775215148926,1,0,1,0,3,45,50,64240,0,benign
199.232.17.164,192.168.154.39,443,57888,6,0.18598008155822754,49,142835,263.4690746958235,768012.3527383255,2915.0,66,7286,1649.413254261446,0.003760377566019694,0.009690007057437292,0.0,0.05360913276672363,1,0,1,0,41,49,92,65535,0,benign
192.168.154.39,199.232.17.164,57888,443,6,0.0018520355224609375,2,108,1079.8928939237899,58314.21627188465,54.0,54,54,0.0,0.003455638885498047,0,0.003455638885498047,0.003455638885498047,0,2,0,0,0,0,2,0,0,benign
192.168.154.39,199.232.17.164,36214,443,6,1.695746660232544,32,3008,18.87074334300132,1773.849874242124,94.0,66,583,104.82089178612587,0.054907206566103046,0.2802234919914889,5.5789947509765625e-05,1.5639450550079346,1,0,1,0,3,31,36,64240,0,benign
199.232.17.164,192.168.154.39,443,36214,6,1.7095682621002197,36,84518,21.057948254007524,49438.21307033911,2347.722222222222,66,4398,1215.5275541593596,0.04859741074698312,0.2602240877328548,0.0,1.5425169467926025,1,0,1,0,30,36,68,65535,0,benign
192.168.154.39,199.232.17.164,36214,443,6,0.0009937286376953125,2,108,2012.6218809980805,108681.58157389636,54.0,54,54,0.0,0.00037384033203125,0,0.00037384033203125,0.00037384033203125,0,2,0,0,0,0,2,0,0,benign
192.168.156.30,192.168.154.39,57358,22,6,0.32152366638183594,11,1881,34.21210053923866,5850.269192209811,171.0,66,970,265.95751540424646,0.03206944465637207,0.06426878860711195,0.0,0.20914387702941895,1,0,1,0,7,10,19,64240,0,SSH_BRUTEFORCE
192.168.154.39,192.168.156.30,22,57358,6,0.4894700050354004,12,2563,24.51631331144002,5236.275918101731,213.58333333333334,66,1186,335.99119532114725,0.044565894386985085,0.07034242897409454,0.0004706382751464844,0.20801520347595215,1,0,1,0,5,12,19,65160,0,benign
192.168.154.39,192.168.156.30,22,57468,6,0.01190948486328125,4,294,335.8667520819987,24686.206278026904,73.5,66,88,10.376254944182254,0.008372227350870768,0.012559908715195188,7.200241088867188e-05,0.022821903228759766,1,1,0,0,1,4,7,65160,0,benign
192.168.154.39,172.217.23.206,34138,443,6,0.263871431350708,32,3320,121.27118057532051,12581.884984689503,103.75,66,669,138.16306401518648,0.008475288268058531,0.017031888919143517,7.724761962890625e-05,0.07812619209289551,1,0,1,0,3,31,36,64240,0,benign
192.168.154.39,142.251.39.110,60600,443,6,0.5032749176025391,10,1557,19.86985571948867,3093.736535524386,155.7,66,583,175.92804716070083,0.0558422671424018,0.11083295032975125,0.00011777877807617188,0.34737515449523926,1,0,1,0,3,9,14,64240,0,benign
172.217.23.206,192.168.154.39,443,34138,6,0.25254058837890625,32,74259,126.71230476420652,294047.7824839129,2320.59375,66,2866,995.6769089701999,0.008377190559141098,0.016915273812481,0.0,0.07489538192749023,1,0,1,0,28,32,62,65535,0,benign
142.251.39.110,192.168.154.39,443,60600,6,0.5008010864257812,8,9879,15.974406240002438,19726.39490562301,1234.875,66,2866,1370.143416633039,0.07168197631835938,0.1371970938135961,0.0,0.37819647789001465,1,0,1,0,4,8,14,65535,0,benign
192.168.154.39,172.217.23.195,57464,443,6,0.1995856761932373,22,2488,110.22835115030885,12465.824439180384,113.0909090909091,66,583,139.85159109737555,0.009531952085949126,0.015277008056241416,0.00014972686767578125,0.046629905700683594,1,0,1,0,3,21,26,64240,0,benign
172.217.23.195,192.168.154.39,443,57464,6,0.2136993408203125,21,44378,98.2689039628704,207665.59143163156,2113.2380952380954,66,2866,1119.0362775514432,0.010525572299957275,0.016829014902923583,0.0,0.05868196487426758,1,0,1,0,17,21,40,65535,0,benign
192.168.159.92,224.0.0.251,5353,5353,17,30.0153386592865,33,6323,1.0994378699035625,210.65895913334018,191.6060606060606,83,310,112.25694282369003,0.9379663467407227,2.132664879328636,0.0,7.968205451965332,0,0,0,0,0,0,0,,0,benign
192.168.152.134,239.255.255.250,64904,3702,17,5.813910961151123,4,2792,0.6880050325380321,480.2275127115464,698.0,698,698,0.0,1.9383044242858887,0.11444809120987536,1.8061554431915283,2.0053012371063232,0,0,0,0,0,0,0,,0,benign
192.168.152.190,224.0.0.251,5353,5353,17,0.78102707862854,6,1707,7.682192031722919,2185.5836330251705,284.5,93,519,211.095949747976,0.15606245994567872,0.14061128389770122,0.0018398761749267578,0.26626133918762207,0,0,0,0,0,0,0,,0,benign
