src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
192.168.154.39,162.159.152.4,33178,443,6,0.3979160785675049,12,1754,30.157112633397265,4407.9646299149,146.16666666666666,66,583,171.64489417681406,0.03401483188975941,0.07566158582280566,0.000164031982421875,0.2587738037109375,1,0,1,0,3,11,16,64240,0,benign
162.159.152.4,192.168.154.39,443,33178,6,0.3746047019958496,27,38167,72.07597730660397,101886.06762448717,1413.5925925925926,66,4239,1068.870621056826,0.014460416940542368,0.04833630407501195,0.0,0.24035215377807617,1,0,1,0,23,27,52,65535,0,benign
162.159.152.4,192.168.154.39,443,54204,6,1e-06,1,66,1000000.0,66000000.0,66.0,66,66,0,0,0,0,0,0,0,1,0,0,1,2,9,0,benign
192.168.154.39,162.159.152.4,54204,443,6,1e-06,1,66,1000000.0,66000000.0,66.0,66,66,0,0,0,0,0,0,0,0,0,0,1,1,620,0,benign
192.168.157.6,192.168.159.255,137,137,17,9.936132192611694,12,1104,1.207713400685526,111.10963286306838,92.0,92,92,0.0,0.9032772454348478,0.24701383405661417,0.7555365562438965,1.290804147720337,0,0,0,0,0,0,0,,0,benign
192.168.157.6,224.0.0.252,52683,5355,17,0.41225099563598633,2,150,4.851413389346865,363.85600420101485,75.0,75,75,0.0,0.4176647663116455,0,0.4176647663116455,0.4176647663116455,0,0,0,0,0,0,0,,0,benign
192.168.157.6,224.0.0.251,5353,5353,17,9.245307207107544,12,972,1.2979557878590255,105.13441881658107,81.0,81,81,0.0,0.8411817117170854,0.7240381424712653,0.41527843475341797,1.9752185344696045,0,0,0,0,0,0,0,,0,benign
192.168.155.253,192.168.159.255,137,137,17,9.42151403427124,13,1196,1.379820690465655,126.94350352284025,92.0,92,92,0.0,0.7852157950401306,0.051381224898781726,0.7502796649932861,0.874553918838501,0,0,0,0,0,0,0,,0,benign
192.168.153.86,239.255.255.250,59944,1900,17,8.03731107711792,5,835,0.6220986038769745,103.89046684745473,167.0,167,167,0.0,2.009257674217224,0.004991104276383182,2.0018773078918457,2.012669324874878,0,0,0,0,0,0,0,,0,benign
192.168.155.206,230.0.0.1,51057,6666,17,10.080445289611816,11,1012,1.0912216359465599,100.3923905070835,92.0,92,92,0.0,1.0073890447616578,0.007449434332473385,0.999504566192627,1.0160932540893555,0,0,0,0,0,0,0,,0,benign
192.168.154.39,162.159.153.4,41388,443,6,1.0211002826690674,12,1852,11.752028868930525,1813.729788771611,154.33333333333334,66,583,187.6032241113401,0.0916948535225608,0.27691954142361036,0.00027370452880859375,0.9262099266052246,1,0,1,0,3,11,16,64240,0,benign
192.168.154.39,162.159.153.4,50820,443,6,1.2892980575561523,9,1475,6.980542588468165,1144.0333686656159,163.88888888888889,66,583,181.55195154861627,0.1597222089767456,0.3286732757295629,0.001209259033203125,0.9621691703796387,1,0,1,0,3,8,13,64240,0,benign
162.159.153.4,192.168.154.39,443,41388,6,1.009207010269165,25,32905,24.771924635494024,32604.807205237234,1316.2,66,2903,797.6815362870908,0.04200382033983866,0.18493673840377076,0.0,0.9086835384368896,1,0,1,0,21,25,48,65535,0,benign
162.159.153.4,192.168.154.39,443,50820,6,1.2659542560577393,7,6595,5.52942570120854,5209.508928495759,942.1428571428571,66,2902,1167.815685881328,0.21235903104146323,0.4061134926152024,2.384185791015625e-07,1.0331056118011475,1,0,1,0,3,7,12,65535,0,benign
192.168.155.214,239.255.255.250,63822,1900,17,3.004218101501465,2,358,0.6657306268810607,119.16578221170985,179.0,179,179,0.0,3.004999876022339,0,3.004999876022339,3.004999876022339,0,0,0,0,0,0,0,,0,benign
192.168.153.86,224.0.0.251,5353,5353,17,6.011342287063599,4,348,0.6654087904140803,57.89056476602498,87.0,87,87,0.0,2.003704071044922,0.007302123523596054,1.9983954429626465,2.0120315551757812,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,61285,5355,17,0.40932393074035645,2,150,4.886105721653117,366.45792912398383,75.0,75,75,0.0,0.4155764579772949,0,0.4155764579772949,0.4155764579772949,0,0,0,0,0,0,0,,0,benign
192.168.157.245,239.255.255.250,65105,1900,17,3.1232407093048096,4,716,1.280721011378705,229.24906103678822,179.0,179,179,0.0,1.0412681102752686,1.6066639857051115,0.10312509536743164,2.8964438438415527,0,0,0,0,0,0,0,,0,benign
192.168.159.52,192.168.159.255,57621,57621,17,3.0083975791931152,2,172,0.6648057470304246,57.17329424461652,86.0,86,86,0.0,3.0075843334198,0,3.0075843334198,3.0075843334198,0,0,0,0,0,0,0,,0,benign
192.168.157.6,192.168.159.255,57621,57621,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.157.6,224.0.0.252,49153,5355,17,0.423947811126709,2,150,4.7175618024413914,353.81713518310437,75.0,75,75,0.0,0.4243466854095459,0,0.4243466854095459,0.4243466854095459,0,0,0,0,0,0,0,,0,benign
192.168.158.253,192.168.159.255,17500,17500,17,1e-06,1,175,1000000.0,175000000.0,175.0,175,175,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.114,192.168.159.255,137,137,17,1.5220723152160645,3,276,1.9709970216324035,181.33172599018113,92.0,92,92,0.0,0.7614321708679199,0.003729490331031991,0.7587950229644775,0.7640693187713623,0,0,0,0,0,0,0,,0,benign
192.168.154.133,224.0.0.251,5353,5353,17,10.004726648330688,8,633,0.7996220467787412,63.270094451367896,79.125,72,81,3.3567628964311944,1.4286634922027588,3.7773174719717235,2.384185791015625e-07,9.994814157485962,0,0,0,0,0,0,0,,0,benign
192.168.157.197,224.0.0.251,5353,5353,17,10.005611419677734,9,711,0.899495255462347,71.06012518152541,79.0,72,81,3.1622776601683795,1.2503100633621216,3.5357050956303544,0.0,10.000733613967896,0,0,0,0,0,0,0,,0,benign
192.168.159.174,224.0.0.252,64187,5355,17,0.4226865768432617,2,150,4.731638309729502,354.87287322971264,75.0,75,75,0.0,0.42424917221069336,0,0.42424917221069336,0.42424917221069336,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,52807,5355,17,0.4104349613189697,2,150,4.872879234197837,365.46594256483775,75.0,75,75,0.0,0.4170186519622803,0,0.4170186519622803,0.4170186519622803,0,0,0,0,0,0,0,,0,benign
192.168.154.18,224.0.0.251,5353,5353,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.198,224.0.0.251,5353,5353,17,1e-06,1,139,1000000.0,139000000.0,139.0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.5,192.168.159.255,137,137,17,10.314889430999756,19,1748,1.8419974471949772,169.4637651419379,92.0,92,92,0.0,0.5730979045232137,0.2622153839776681,0.07691359519958496,0.8686835765838623,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.251,5353,5353,17,9.88570499420166,13,1053,1.315030137721588,106.51744115544864,81.0,81,81,0.0,0.8237098654111227,0.3426303121383367,0.3261275291442871,1.395146131515503,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.252,55907,5355,17,0.4165019989013672,2,150,4.801897722641241,360.14232919809314,75.0,75,75,0.0,0.4165518283843994,0,0.4165518283843994,0.4165518283843994,0,0,0,0,0,0,0,,0,benign
192.168.154.39,162.159.152.4,33178,443,6,1e-06,1,66,1000000.0,66000000.0,66.0,66,66,0,0,0,0,0,0,0,0,0,0,1,1,641,0,benign
192.168.157.6,224.0.0.252,60347,5355,17,0.422590970993042,2,150,4.732708782916543,354.9531587187407,75.0,75,75,0.0,0.4188046455383301,0,0.4188046455383301,0.4188046455383301,0,0,0,0,0,0,0,,0,benign
192.168.159.92,224.0.0.251,5353,5353,17,7.791708946228027,16,3120,2.053464793207607,400.4256346754834,195.0,83,310,114.17647159842814,0.5192804495493571,0.8644343475266947,2.384185791015625e-07,3.254225969314575,0,0,0,0,0,0,0,,0,benign
192.168.154.39,162.159.153.4,41400,443,6,1.0970683097839355,11,1620,10.026722950521119,1476.6628345312922,147.27272727272728,66,583,168.70571472780102,0.10973305702209472,0.3067541953005232,0.00022840499877929688,0.9823980331420898,1,0,1,0,3,10,15,64240,0,benign
162.159.153.4,192.168.154.39,443,41400,6,1.102853536605835,23,33265,20.854990473880402,30162.66339624485,1446.304347826087,66,2903,998.2056371665841,0.05019226941195401,0.20440550707094626,0.0,0.9631896018981934,1,0,1,0,19,23,44,65535,0,benign
192.168.152.231,224.0.0.251,5353,5353,17,0.7981836795806885,6,1179,7.5170667522944,1477.1036168258497,196.5,93,343,115.79939550792137,0.15897102355957032,0.14255469376229013,0.0020699501037597656,0.26465678215026855,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,55908,5355,17,0.4173009395599365,2,150,4.792704282212003,359.4528211659002,75.0,75,75,0.0,0.41797852516174316,0,0.41797852516174316,0.41797852516174316,0,0,0,0,0,0,0,,0,benign
192.168.154.119,192.168.159.255,137,137,17,1.5210487842559814,3,276,1.9723233278592345,181.45374616304957,92.0,92,92,0.0,0.7592979669570923,0.0037485407065589154,0.7566473484039307,0.7619485855102539,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.252,59715,5355,17,0.4210519790649414,2,150,4.7500073611850375,356.25055208887784,75.0,75,75,0.0,0.42264890670776367,0,0.42264890670776367,0.42264890670776367,0,0,0,0,0,0,0,,0,benign
192.168.157.237,224.0.0.251,33758,5353,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.157.237,224.0.0.251,52826,5353,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.157.6,224.0.0.252,64988,5355,17,0.41329002380371094,2,150,4.839216735969135,362.9412551976851,75.0,75,75,0.0,0.41678690910339355,0,0.41678690910339355,0.41678690910339355,0,0,0,0,0,0,0,,0,benign
192.168.152.190,224.0.0.251,5353,5353,17,2.149416208267212,12,1032,5.582911282535644,480.1303702980654,86.0,86,86,0.0,0.19517729499123312,0.20215560442477726,0.014388084411621094,0.4106612205505371,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,62337,5355,17,0.41051602363586426,2,150,4.871917013826576,365.39377603699324,75.0,75,75,0.0,0.4169747829437256,0,0.4169747829437256,0.4169747829437256,0,0,0,0,0,0,0,,0,benign
192.168.153.23,224.0.0.251,5353,5353,17,0.7993555068969727,6,1047,7.506046994398611,1309.8052005225577,174.5,93,299,92.33363417520184,0.15880846977233887,0.14416214351536058,2.384185791015625e-07,0.2646372318267822,0,0,0,0,0,0,0,,0,benign
192.168.157.222,192.168.159.255,61210,1947,17,1e-06,1,82,1000000.0,82000000.0,82.0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.157.222,255.255.255.255,61211,1947,17,1e-06,1,82,1000000.0,82000000.0,82.0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.152.190,224.0.0.252,57278,5355,17,0.4223966598510742,2,172,4.734885926193513,407.20018965264217,86.0,86,86,0.0,0.42270374298095703,0,0.42270374298095703,0.42270374298095703,0,0,0,0,0,0,0,,0,benign
192.168.152.190,224.0.0.252,59018,5355,17,0.42133069038391113,2,172,4.74686521928328,408.23040885836207,86.0,86,86,0.0,0.4201827049255371,0,0.4201827049255371,0.4201827049255371,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.252,52621,5355,17,0.41659069061279297,2,150,4.800875403763961,360.0656552822971,75.0,75,75,0.0,0.41744279861450195,0,0.41744279861450195,0.41744279861450195,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.251,5353,5353,17,1e-06,1,87,1000000.0,87000000.0,87.0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.250,239.255.255.250,65223,1900,17,3.0161943435668945,4,848,1.3261744915513884,281.14899220889436,212.0,212,212,0.0,1.00501545270284,0.0005581162682208056,1.0044665336608887,1.005582332611084,0,0,0,0,0,0,0,,0,benign
192.168.155.253,192.168.159.255,137,137,17,10.424316883087158,14,1288,1.3430136628630485,123.55725698340045,92.0,92,92,0.0,0.8009759829594538,0.05858971631474071,0.7500720024108887,0.8786273002624512,0,0,0,0,0,0,0,,0,benign
192.168.152.190,224.0.0.252,54511,5355,17,0.4283595085144043,2,172,4.668975382234913,401.53188287220246,86.0,86,86,0.0,0.4262537956237793,0,0.4262537956237793,0.4262537956237793,0,0,0,0,0,0,0,,0,benign
192.168.152.190,224.0.0.252,58549,5355,17,0.4289987087249756,2,172,4.66201869451819,400.93360772856437,86.0,86,86,0.0,0.42812180519104004,0,0.42812180519104004,0.42812180519104004,0,0,0,0,0,0,0,,0,benign
