src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
199.232.17.164,192.168.154.39,443,44506,6,0.16204476356506348,61,211661,376.43919283764797,1306188.4589378592,3469.8524590163934,66,8730,1998.4552854314386,0.0026769200960795087,0.008828541226044305,0.0,0.06512665748596191,1,0,1,0,52,61,115,65535,0,benign
192.168.154.39,199.232.17.164,44506,443,6,0.180938720703125,58,4665,320.5505144206443,25782.209478832854,80.43103448275862,66,583,75.02914335974413,0.0031820431090237803,0.007877678353365808,0.00013828277587890625,0.03501105308532715,1,1,0,0,3,57,62,64240,0,benign
192.168.154.39,199.232.17.164,40896,443,6,0.23880290985107422,46,3921,192.62746852074457,16419.397914561727,85.23913043478261,66,583,87.1828690569703,0.005311414930555556,0.012424585092204553,5.6743621826171875e-05,0.0746617317199707,1,0,1,0,3,45,50,64240,0,benign
199.232.17.164,192.168.154.39,443,40896,6,0.24281811714172363,57,161728,234.74360427039835,666045.8531832102,2837.3333333333335,66,7286,1926.612546611774,0.004325994423457554,0.010751636632521433,0.0,0.051905155181884766,1,0,1,0,41,57,100,65535,0,benign
192.168.154.39,199.232.17.164,40896,443,6,0.0002357959747314453,2,108,8481.908998988878,458023.0859453994,54.0,54,54,0.0,6.604194641113281e-05,0,6.604194641113281e-05,6.604194641113281e-05,0,2,0,0,0,0,2,0,0,benign
192.168.154.39,199.232.17.164,40908,443,6,0.17350172996520996,34,3156,195.96346391945244,18190.020356758585,92.82352941176471,66,583,103.17900614164635,0.005280733108520508,0.01154913144701926,6.461143493652344e-05,0.05498981475830078,1,0,1,0,3,33,38,64240,0,benign
199.232.17.164,192.168.154.39,443,40908,6,0.18515729904174805,39,85242,210.63171801402513,460376.12581927,2185.6923076923076,66,2954,1163.644301635489,0.004856297844334652,0.011548615874659537,0.0,0.0527191162109375,1,0,1,0,31,39,72,65535,0,benign
192.168.154.39,199.232.17.164,40908,443,6,0.00025725364685058594,2,108,7774.428174235403,419819.12140871177,54.0,54,54,0.0,8.082389831542969e-05,0,8.082389831542969e-05,8.082389831542969e-05,0,2,0,0,0,0,2,0,0,benign
192.168.154.39,199.232.17.164,39380,443,6,0.20344877243041992,30,2879,147.45726721089008,14150.982410005086,95.96666666666667,66,583,108.37498226809173,0.006905004895966628,0.01517169499491906,5.6743621826171875e-05,0.0659945011138916,1,0,1,0,3,29,34,64240,0,benign
199.232.17.164,192.168.154.39,443,39380,6,0.20169854164123535,34,74322,168.5683977848307,368480.60176953493,2185.9411764705883,66,2954,1195.154102937471,0.006118319251320579,0.013255316567038657,0.0,0.05724287033081055,1,0,1,0,27,34,63,65535,0,benign
