src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
192.168.154.39,23.227.38.74,36048,443,6,0.16847729682922363,17,2009,100.90380318264475,11924.455329054901,118.17647058823529,66,583,138.51815553119636,0.01012544333934784,0.020334176780386105,8.177757263183594e-05,0.07735276222229004,1,0,1,0,3,16,21,64240,0,benign
23.227.38.74,192.168.154.39,443,36048,6,0.16517376899719238,35,42996,211.89805265383833,260307.67634012664,1228.4571428571428,66,2894,782.2768933153568,0.004853480002459358,0.013603418385735777,0.0,0.06000924110412598,1,0,1,0,31,35,68,65535,0,benign
192.168.154.39,23.227.38.74,36060,443,6,0.16695785522460938,14,1845,83.8534969269084,11050.692987867571,131.78571428571428,66,583,155.17244926529003,0.012559322210458608,0.02327416907814602,5.650520324707031e-05,0.08118987083435059,1,0,1,0,3,13,18,64240,0,benign
23.227.38.74,192.168.154.39,443,36060,6,0.1600639820098877,24,42347,149.9400408426515,264562.95456515683,1764.4583333333333,66,5630,1474.0851836387164,0.007029730340708857,0.017044584385150156,0.0,0.06521272659301758,1,0,1,0,20,24,46,65535,0,benign
192.168.154.39,23.227.38.74,34874,443,6,0.4504561424255371,15,1917,33.299579220366795,4255.686224362876,127.8,66,583,151.2208413451759,0.032105054174150736,0.09149589811066727,6.246566772460938e-05,0.34720730781555176,1,0,1,0,3,14,19,64240,0,benign
23.227.38.74,192.168.154.39,443,34874,6,0.44567012786865234,22,44298,49.36386494022285,99396.38586918144,2013.5454545454545,66,5630,1473.9994096811097,0.021160954520815893,0.07176178285560036,0.0,0.32886624336242676,1,0,1,0,15,22,39,65535,0,benign
192.168.154.39,23.227.38.74,34888,443,6,0.4338657855987549,18,2161,41.48748437298222,4980.802985000811,120.05555555555556,66,583,144.82869078053082,0.025098057354197782,0.07893878708068207,3.838539123535156e-05,0.32821035385131836,1,0,1,0,3,17,22,64240,0,benign
23.227.38.74,192.168.154.39,443,34888,6,0.41699862480163574,30,43705,71.94268329846616,104808.49911864879,1456.8333333333333,66,3781,963.3304329193103,0.014552732993816507,0.05848885612857169,0.0,0.31223368644714355,1,0,1,0,25,30,57,65535,0,benign
192.168.158.210,224.0.0.251,5353,5353,17,19.389596939086914,24,1944,1.237777147993165,100.25994898744635,81.0,81,81,0.0,0.8431067985037098,1.5788680918292477,4.76837158203125e-07,7.551499843597412,0,0,0,0,0,0,0,,0,benign
192.168.155.253,224.0.0.252,56502,5355,17,1e-06,1,75,1000000.0,75000000.0,75.0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.155.209,192.168.159.255,137,137,17,1.5121533870697021,3,276,1.9839257218564932,182.52116641079738,92.0,92,92,0.0,0.756369948387146,0.0013259398541527261,0.7554323673248291,0.7573075294494629,0,0,0,0,0,0,0,,0,benign
192.168.157.6,192.168.159.255,137,137,17,19.640595197677612,22,2024,1.1201289868548063,103.0518667906422,92.0,92,92,0.0,0.935292607262021,0.256235771097833,0.7525184154510498,1.294057846069336,0,0,0,0,0,0,0,,0,benign
192.168.153.86,192.168.159.255,137,137,17,1.514132022857666,3,276,1.9813331695726317,182.28265160068213,92.0,92,92,0.0,0.7564641237258911,0.007622341846892208,0.7510743141174316,0.7618539333343506,0,0,0,0,0,0,0,,0,benign
192.168.158.5,192.168.159.255,137,137,17,19.67355704307556,14,1288,0.7116150866539681,65.46858797216507,92.0,92,92,0.0,1.513337227014395,2.1745610011271714,0.32434868812561035,6.880208492279053,0,0,0,0,0,0,0,,0,benign
192.168.155.253,192.168.159.255,137,137,17,19.87308931350708,26,2392,1.3083018744513295,120.36377244952233,92.0,92,92,0.0,0.7949080467224121,0.054166983405367915,0.7498819828033447,0.8792569637298584,0,0,0,0,0,0,0,,0,benign
192.168.155.119,192.168.159.255,137,137,17,1.5859375,3,276,1.8916256157635467,174.0295566502463,92.0,92,92,0.0,0.7515609264373779,0.0011632530189006752,0.7507383823394775,0.7523834705352783,0,0,0,0,0,0,0,,0,benign
192.168.158.210,192.168.159.255,137,137,17,19.63828134536743,18,1656,0.9165771527275784,84.32509805093721,92.0,92,92,0.0,1.1552031460930319,1.5217933825008514,0.7399625778198242,7.057004928588867,0,0,0,0,0,0,0,,0,benign
192.168.154.230,224.0.0.252,58675,5355,17,1e-06,1,88,1000000.0,88000000.0,88.0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.251,5353,5353,17,19.424251556396484,8,648,0.41185628062799506,33.360358730867596,81.0,81,81,0.0,2.77498653956822,2.8238245009923313,1.0009164810180664,7.382836580276489,0,0,0,0,0,0,0,,0,benign
192.168.156.136,224.0.0.251,5353,5353,17,18.473979473114014,348,47692,18.83730576330127,2581.5769725958744,137.04597701149424,70,1514,125.77418198535788,0.05326635418432934,0.24007695308808538,0.0,2.0489959716796875,0,0,0,0,0,0,0,,0,benign
