src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
192.168.154.39,35.186.224.24,58984.0,443.0,6,0.2001264095306396,17,2014,84.94630988418984,10063.63930039755,118.47058823529412,66,583,139.04096412885792,0.0124596208333969,0.0178853773460074,8.082389831542969e-05,0.0550196170806884,1,0,1,0,3,16,21,64240.0,0,benign
35.186.224.24,192.168.154.39,443.0,58984.0,6,0.2030022144317627,19,33696,93.5950381289396,165988.33709435517,1773.4736842105262,66,2866,1139.0073830811857,0.0111415121290418,0.0176610872078953,0.0,0.0629591941833496,1,0,1,0,13,19,34,65535.0,0,benign
192.168.154.39,35.186.224.24,58992.0,443.0,6,0.5111417770385742,27,3069,52.82291765785836,6004.204973776567,113.66666666666669,66,583,130.8504725014249,0.0195610523223876,0.0531338183139883,6.103515625e-05,0.2686200141906738,1,0,1,0,4,26,32,64240.0,0,benign
35.186.224.24,192.168.154.39,443.0,58992.0,6,0.5059535503387451,30,61117,59.29398060338632,120795.67375123872,2037.2333333333331,66,2866,1113.3708271957616,0.0175653819380135,0.0453098000469294,0.0,0.23287034034729,1,0,1,0,24,30,56,65535.0,0,benign
147.67.210.30,192.168.154.39,443.0,56364.0,6,0.2605173587799072,26,8703,99.80141101447896,33406.603079192704,334.7307692307692,66,3424,653.5851624810531,0.0103733921051025,0.0185256788610941,0.0,0.0669999122619628,1,0,1,0,20,26,48,14600.0,0,benign
192.168.154.39,147.67.210.30,56364.0,443.0,6,0.2936291694641113,13,2397,44.27353053419619,8163.35789926679,184.3846153846154,66,583,178.87264485360268,0.0241547624270121,0.027203279242106,0.0002200603485107,0.0724155902862548,1,0,1,0,6,12,20,64240.0,0,benign
147.67.210.30,192.168.154.39,443.0,56372.0,6,0.2354118824005127,33,18836,140.17983996175772,80012.95350059602,570.7878787878788,66,3424,657.8498953777258,0.0071242153644561,0.0239868003899693,0.0,0.096095323562622,1,0,1,0,28,33,63,14600.0,0,benign
192.168.154.39,147.67.210.30,56372.0,443.0,6,0.287172794342041,10,1590,34.82224011822431,5536.736178797665,159.0,66,583,178.27070551395832,0.029077582889133,0.0425522686646115,0.0005066394805908,0.1256937980651855,1,0,1,0,4,9,15,64240.0,0,benign
147.67.34.30,192.168.154.39,443.0,36764.0,6,0.5904788970947266,76,27422,128.70908744399688,46440.2709985432,360.8157894736842,66,3424,476.13960727294585,0.0074782466888427,0.0467452921049416,0.0,0.3910744190216064,1,0,1,0,71,76,149,14600.0,0,benign
192.168.154.39,147.67.34.30,36764.0,443.0,6,0.6183652877807617,25,2569,40.429177533108266,4154.502283302206,102.76,66,583,117.59367896844344,0.0246279835700988,0.0860785136367299,0.0001070499420166,0.4203372001647949,1,0,1,0,4,24,30,64240.0,0,benign
192.168.154.39,65.9.95.111,41522.0,443.0,6,0.1287798881530761,12,1713,93.1822520744545,13301.766483628378,142.75,66,583,168.14124203397355,0.0118261033838445,0.0186312226366468,5.698204040527344e-05,0.0571036338806152,1,0,1,0,3,11,16,64240.0,0,benign
192.168.154.39,147.67.34.45,43932.0,443.0,6,0.4756145477294922,8,1440,16.820343360376004,3027.6618048676805,180.0,66,583,197.0532922840925,0.0680521556309291,0.0982217263298406,0.0005738735198974,0.2813236713409424,1,0,1,0,3,7,12,64240.0,0,benign
65.9.95.111,192.168.154.39,443.0,41522.0,6,0.1482236385345459,10,21871,67.46562221024779,147554.06233603295,2187.1,66,5778,2512.806817087219,0.0155395401848687,0.0200157701941842,0.0,0.0510392189025878,1,0,1,0,6,10,18,65535.0,0,benign
