src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,tcp_flags_count,initial_window_size,incomplete_handshake,label
20.82.9.214,192.168.155.175,443,62048,6,0.0009753704071044922,2,171,2050.5030554876557,175318.01124419458,85.5,78,93,10.606601717798213,0.0,0,0.0,0.0,0,0,1,0,2,2,5,63360,0,benign
192.168.155.175,20.82.9.214,62048,443,6,1e-06,2,108,2000000.0,108000000.0,54.0,54,54,0.0,0.00011801719665527344,0,0.00011801719665527344,0.00011801719665527344,0,0,1,0,0,2,3,64737,0,benign
192.168.159.92,224.0.0.251,5353,5353,17,15.010204792022705,21,3986,1.399048200272432,265.5526726802816,189.8095238095238,83,310,113.08077601768527,0.7505406022071839,1.8851345048596908,9.799003601074219e-05,7.779790878295898,0,0,0,0,0,0,0,,0,benign
192.168.158.5,192.168.159.255,137,137,17,4.2119715213775635,9,828,2.136766584085656,196.58252573588035,92.0,92,92,0.0,0.5263537466526031,0.27716755342663074,0.029796838760375977,0.7743649482727051,0,0,0,0,0,0,0,,0,benign
192.168.159.52,239.255.255.250,59596,1900,17,1e-06,1,212,1000000.0,212000000.0,212.0,212,212,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.159.52,192.168.159.255,57621,57621,17,1e-06,1,86,1000000.0,86000000.0,86.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.251,5353,5353,17,3.461129903793335,5,405,1.4446149491586813,117.01381088185319,81.0,81,81,0.0,0.8650672435760498,0.47751567267323775,0.17014312744140625,1.2603559494018555,0,0,0,0,0,0,0,,0,benign
192.168.153.59,192.168.159.255,137,137,17,14.691654920578003,19,1748,1.2932511757669638,118.97910817056066,92.0,92,92,0.0,0.8161472214592828,0.49244933388976847,6.413459777832031e-05,2.305428981781006,0,0,0,0,0,0,0,,0,benign
192.168.158.5,224.0.0.252,56018,5355,17,0.41304636001586914,2,150,4.842071480603679,363.155361045276,75.0,75,75,0.0,0.4129619598388672,0,0.4129619598388672,0.4129619598388672,0,0,0,0,0,0,0,,0,benign
192.168.157.6,224.0.0.251,5353,5353,17,14.902082920074463,24,1944,1.6105131161006905,130.45156240415594,81.0,81,81,0.0,0.6479097863902217,0.6982947508004308,0.07764887809753418,1.9801130294799805,0,0,0,0,0,0,0,,0,benign
