src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
37556.0,443.0,6,0.5253264904022217,17.1322028575202,3546.365991506681,9,1863,207.0,66,684,246.53194519169315,0.0660114288330078,1,0,1,0,3,8,64240.0,0,13,9,0,1863,0,benign
43134.0,443.0,6,1.1225547790527344,9.799076361585067,1432.446799038981,11,1608,146.1818181818182,66,583,167.26076538257152,0.1123589038848877,1,0,1,0,3,10,64240.0,0,15,11,0,1608,0,benign
443.0,43134.0,6,1.1297578811645508,8.85145407411722,6519.095925587332,10,7365,736.5,66,2962,957.0231914059808,0.1249205271402994,1,0,1,0,7,10,65160.0,0,19,10,0,7365,0,benign
43134.0,443.0,6,0.0053749084472656,372.09936124911286,20093.36550745209,2,108,54.0,54,54,0.0,0.0030114650726318,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
443.0,37556.0,6,0.5281705856323242,18.93327699805174,17437.54811520565,10,9210,921.0,66,4217,1498.6582888259306,0.0586548646291097,1,0,1,0,5,10,26847.0,0,17,10,0,9210,0,benign
37556.0,443.0,6,0.0002837181091308,7049.250420168068,380659.5226890756,2,108,54.0,54,54,0.0,0.0003547668457031,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
443.0,59314.0,6,0.5815589427947998,25.792742396694045,25846.047397647213,15,15031,1002.0666666666668,66,3699,1125.6736057430976,0.041445391518729,1,0,1,0,10,15,65535.0,0,27,15,0,15031,0,benign
59314.0,443.0,6,0.5968296527862549,21.781759567927743,5537.593490153938,13,3305,254.23076923076923,66,848,303.7965749878675,0.0498376687367757,1,1,0,0,5,12,64240.0,0,19,13,0,3305,0,benign
5353.0,5353.0,17,15.05820345878601,0.7969078139263923,64.54953292803778,12,972,81.0,81,81,0.0,1.3690937215631658,0,0,0,0,0,0,,0,0,12,0,972,0,benign
57116.0,5355.0,17,0.4183361530303955,4.780844269643326,358.5633202232495,2,150,75.0,75,75,0.0,0.4180855751037597,0,0,0,0,0,0,,0,0,2,0,150,0,benign
137.0,137.0,17,14.809442043304443,1.1479163057115942,105.60830012546668,17,1564,92.0,92,92,0.0,0.9258673042058944,0,0,0,0,0,0,,0,0,17,0,1564,0,benign
62081.0,3702.0,17,4.017083168029785,0.7468105275677868,521.2737482423152,3,2094,698.0,698,698,0.0,2.008666515350342,0,0,0,0,0,0,,0,0,3,0,2094,0,benign
5353.0,5353.0,17,10.018115520477297,2.3956601369732025,190.954076751239,24,1913,79.70833333333333,75,81,2.2356628560221465,0.4353144376174263,0,0,0,0,0,0,,0,0,24,0,1913,0,benign
5353.0,5353.0,17,10.013572692871094,2.197018054870899,174.86266427631563,22,1751,79.5909090909091,75,81,2.3023609188973397,0.4767667793092273,0,0,0,0,0,0,,0,0,22,0,1751,0,benign
5353.0,5353.0,17,1e-06,1000000.0,139000000.0,1,139,139.0,139,139,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,139,0,benign
34727.0,53.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
49607.0,53.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
53.0,49607.0,17,1e-06,1000000.0,221000000.0,1,221,221.0,221,221,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,221,0,benign
53.0,34727.0,17,1e-06,1000000.0,181000000.0,1,181,181.0,181,181,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,181,0,benign
43519.0,53.0,17,1e-06,1000000.0,90000000.0,1,90,90.0,90,90,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,90,0,benign
33108.0,53.0,17,1e-06,1000000.0,90000000.0,1,90,90.0,90,90,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,90,0,benign
53.0,33108.0,17,1e-06,1000000.0,245000000.0,1,245,245.0,245,245,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,245,0,benign
56000.0,53.0,17,1e-06,1000000.0,133000000.0,1,133,133.0,133,133,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,133,0,benign
53.0,56000.0,17,1e-06,1000000.0,215000000.0,1,215,215.0,215,215,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,215,0,benign
53.0,43519.0,17,1e-06,1000000.0,195000000.0,1,195,195.0,195,195,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,195,0,benign
443.0,43636.0,6,0.8251862525939941,21.813257241521583,18996.92336211624,18,15676,870.8888888888889,66,2962,1041.253254433945,0.0485346878276151,1,0,1,0,14,18,65160.0,0,34,18,0,15676,0,benign
43636.0,443.0,6,0.8448638916015625,20.12158428001228,2832.408893062905,17,2393,140.76470588235293,66,583,158.72481273093564,0.0528489351272583,1,0,1,0,4,16,64240.0,0,22,17,0,2393,0,benign
52031.0,5353.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
60915.0,5353.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
34670.0,5353.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
41480.0,5353.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
61149.0,5355.0,17,0.4183969497680664,4.780149571139745,358.51121783548086,2,150,75.0,75,75,0.0,0.4180428981781006,0,0,0,0,0,0,,0,0,2,0,150,0,benign
50102.0,1900.0,17,10.217800378799438,0.587210532361661,98.0641589043974,6,1002,167.0,167,167,0.0,2.0435500621795653,0,0,0,0,0,0,,0,0,6,0,1002,0,benign
53275.0,5355.0,17,0.420112133026123,4.760633751740842,357.0475313805632,2,150,75.0,75,75,0.0,0.4193072319030761,0,0,0,0,0,0,,0,0,2,0,150,0,benign
60328.0,443.0,6,0.6688868999481201,35.88050536176068,4803.502655305711,24,3213,133.875,66,583,150.04095455400923,0.029094706410947,1,0,0,0,5,23,64240.0,0,29,24,0,3213,0,benign
443.0,60328.0,6,0.5996856689453125,41.68850665377472,43264.3322052874,25,25945,1037.8,66,2962,1164.0679748193402,0.0251775483290354,2,0,0,0,20,25,65160.0,0,47,25,0,25945,0,benign
43644.0,443.0,6,4.72408652305603,2.540173627522205,378.48587050080863,12,1788,149.0,66,583,176.83222659808467,0.4296257279135964,1,0,1,0,3,11,64240.0,0,16,12,0,1788,0,benign
443.0,60328.0,6,0.0032734870910644,610.9692643845593,47655.60262199563,2,156,78.0,66,90,16.97056274847714,2.384185791015625e-07,0,0,1,0,1,2,501.0,0,4,2,0,156,0,benign
443.0,43644.0,6,4.74167013168335,2.7416500176035745,3279.224317209076,13,15549,1196.076923076923,66,2962,1275.688275764529,0.3932674527168274,1,0,1,0,10,13,65160.0,0,25,13,0,15549,0,benign
443.0,37364.0,6,0.0002303123474121,8683.859213250518,677341.0186335404,2,156,78.0,66,90,16.97056274847714,0.0,0,0,1,0,1,2,501.0,0,4,2,0,156,0,benign
443.0,36224.0,6,0.0002102851867675,9510.89342403628,741849.6870748299,2,156,78.0,66,90,16.97056274847714,0.0,0,0,1,0,1,2,501.0,0,4,2,0,156,0,benign
60328.0,443.0,6,0.0398049354553222,50.245025575907135,3014.701534554428,2,120,60.0,54,66,8.48528137423857,0.0144116878509521,0,1,1,0,0,1,712.0,0,3,2,0,120,0,benign
43644.0,443.0,6,0.0038862228393554,514.638527607362,27790.480490797545,2,108,54.0,54,54,0.0,0.0001604557037353,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
37364.0,443.0,6,0.0567340850830078,35.2521768364431,2115.130610186586,2,120,60.0,54,66,8.48528137423857,0.0167963504791259,0,1,1,0,0,1,712.0,0,3,2,0,120,0,benign
36224.0,443.0,6,0.057992935180664,34.48695938168064,2069.217562900839,2,120,60.0,54,66,8.48528137423857,0.0180692672729492,0,1,1,0,0,1,712.0,0,3,2,0,120,0,benign
443.0,58000.0,6,0.0011565685272216,2593.880024737168,191947.1218305504,3,222,74.0,66,90,13.856406460551018,1.1920928955078125e-07,0,0,1,0,1,3,287.0,0,5,3,0,222,0,benign
443.0,43118.0,6,0.0002293586730957,8719.966735966736,680157.4054054054,2,156,78.0,66,90,16.97056274847714,0.0,0,0,1,0,1,2,501.0,0,4,2,0,156,0,benign
58000.0,443.0,6,0.0610759258270263,32.74612661074048,1964.767596644429,2,120,60.0,54,66,8.48528137423857,0.0241787433624267,0,1,1,0,0,1,4572.0,0,3,2,0,120,0,benign
43118.0,443.0,6,0.0658915042877197,30.35292670306728,1821.1756021840365,2,120,60.0,54,66,8.48528137423857,0.0234832763671875,0,1,1,0,0,1,712.0,0,3,2,0,120,0,benign
53276.0,1900.0,17,3.0432703495025635,1.3143755041854297,278.64760688731104,4,848,212.0,212,212,0.0,1.014553149541219,0,0,0,0,0,0,,0,0,4,0,848,0,benign
61561.0,5355.0,17,0.4158709049224853,4.809184716523466,360.68885373926,2,150,75.0,75,75,0.0,0.4158418178558349,0,0,0,0,0,0,,0,0,2,0,150,0,benign
5353.0,5353.0,17,0.7907083034515381,7.588133289873483,1900.8273891133076,6,1503,250.5,93,451,174.13299515025864,0.1581067562103271,0,0,0,0,0,0,,0,0,6,0,1503,0,benign
44017.0,53.0,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
35812.0,53.0,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
53.0,35812.0,17,1e-06,1000000.0,199000000.0,1,199,199.0,199,199,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,199,0,benign
56347.0,53.0,17,1e-06,1000000.0,90000000.0,1,90,90.0,90,90,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,90,0,benign
