src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
192.168.154.39,13.224.242.216,42654.0,443.0,6,0.5588653087615967,21.472078892481434,2997.144345408867,12,1675,139.58333333333334,66,583,163.18169367767683,0.0500784137032248,1,0,1,0,3,11,64240.0,0,16,12,0,1675,0,benign
192.168.154.39,99.86.114.25,34028.0,443.0,6,0.228579044342041,157.49475243290604,16173.8361040126,36,3697,102.69444444444444,66,583,118.93811582846516,0.0065072127750941,1,0,1,0,4,35,64240.0,0,41,36,0,3697,0,benign
13.224.242.216,192.168.154.39,443.0,42654.0,6,0.5551948547363281,19.812863729121005,12800.911138442088,11,7107,646.0909090909091,66,2922,913.6280922285014,0.0554409980773925,1,0,1,0,5,11,65535.0,0,18,11,0,7107,0,benign
99.86.114.25,192.168.154.39,443.0,34028.0,6,0.2286770343780517,179.29216246620675,413268.43448460655,41,94505,2305.0,66,2922,1036.249969843184,0.0056980848312377,1,0,1,0,34,41,65535.0,0,77,41,0,94505,0,benign
192.168.154.39,99.86.114.112,35590.0,443.0,6,0.2647206783294678,105.77186556295985,10509.19035700551,28,2782,99.35714285714286,66,583,115.36069498355992,0.0098461928191008,1,0,1,0,3,27,64240.0,0,32,28,0,2782,0,benign
99.86.114.112,192.168.154.39,443.0,35590.0,6,0.2633852958679199,125.29173236970882,285706.91371372604,33,75251,2280.333333333333,66,4350,1180.6097912378443,0.0082339569926261,1,0,1,0,27,33,65535.0,0,62,33,0,75251,0,benign
192.168.154.39,99.86.114.10,36578.0,443.0,6,0.2523620128631592,138.689653022297,12593.020494424569,35,3178,90.8,66,583,98.18404087402872,0.007350578027613,1,0,1,0,3,34,64240.0,0,39,35,0,3178,0,benign
99.86.114.10,192.168.154.39,443.0,36578.0,6,0.2537651062011719,141.86347579032815,308509.7126708056,36,78289,2174.6944444444443,66,2922,1091.9460431317616,0.0072518893650599,1,0,1,0,28,36,65535.0,0,66,36,0,78289,0,benign
192.168.154.39,57.144.112.1,55882.0,443.0,6,0.411494493484497,102.0669794250414,8850.665215857163,42,3642,86.71428571428571,66,583,90.03909332909862,0.0100723824849942,1,0,1,0,3,41,64240.0,0,46,42,0,3642,0,benign
57.144.112.1,192.168.154.39,443.0,55882.0,6,0.4027166366577148,99.32542229189708,280112.5896764935,40,112806,2820.15,66,11106,2742.771231474679,0.0103921767992851,1,0,1,0,34,40,65535.0,0,76,40,0,112806,0,benign
192.168.153.44,224.0.0.251,5353.0,5353.0,17,0.5153186321258545,7.762187801164337,1439.8858371159845,4,742,185.5,93,310,109.95908329919816,0.1723129749298095,0,0,0,0,0,0,,0,0,4,0,742,0,benign
192.168.159.52,239.255.255.250,59897.0,1900.0,17,1e-06,1000000.0,167000000.0,1,167,167.0,167,167,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,167,0,benign
192.168.157.6,224.0.0.251,5353.0,5353.0,17,13.991860628128052,1.5723427058566508,127.35975917438871,22,1782,81.0,81,81,0.0,0.6663430077689034,0,0,0,0,0,0,,0,0,22,0,1782,0,benign
192.168.157.6,192.168.159.255,137.0,137.0,17,14.739848613739014,1.153336132920273,106.10692422866512,17,1564,92.0,92,92,0.0,0.92129847407341,0,0,0,0,0,0,,0,0,17,0,1564,0,benign
192.168.154.39,192.168.152.2,49302.0,53.0,17,1e-06,1000000.0,90000000.0,1,90,90.0,90,90,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,90,0,benign
192.168.154.39,192.168.152.2,57481.0,53.0,17,1e-06,1000000.0,90000000.0,1,90,90.0,90,90,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,90,0,benign
192.168.152.2,192.168.154.39,53.0,49302.0,17,1e-06,1000000.0,196000000.0,1,196,196.0,196,196,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,196,0,benign
192.168.152.2,192.168.154.39,53.0,57481.0,17,1e-06,1000000.0,356000000.0,1,356,356.0,356,356,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,356,0,benign
192.168.154.39,13.224.242.216,42654.0,443.0,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,501.0,0,1,1,0,66,0,benign
192.168.154.39,99.86.114.25,34028.0,443.0,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,992.0,0,1,1,0,66,0,benign
192.168.153.101,239.255.255.250,53496.0,3702.0,17,1e-06,1000000.0,694000000.0,1,694,694.0,694,694,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,694,0,benign
192.168.157.222,192.168.159.255,51465.0,1947.0,17,1e-06,1000000.0,82000000.0,1,82,82.0,82,82,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,82,0,benign
192.168.157.6,224.0.0.252,50557.0,5355.0,17,0.4104907512664795,4.872216959406362,365.4162719554772,2,150,75.0,75,75,0.0,0.4105579853057861,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.157.224,224.0.0.251,5353.0,5353.0,17,0.1125590801239013,17.768446559784117,6743.125469438072,2,759,379.5,290,469,126.572113832392,0.1129665374755859,0,0,0,0,0,0,,0,0,2,0,759,0,benign
192.168.155.202,224.0.0.251,5353.0,5353.0,17,1.0102369785308838,1.9797335105555716,168.27734839722356,2,170,85.0,85,85,0.0,1.0114426612854004,0,0,0,0,0,0,,0,0,2,0,170,0,benign
192.168.154.39,57.144.112.128,45532.0,443.0,6,0.1042823791503906,258.91238980136814,27396.766580092917,27,2857,105.8148148148148,66,583,133.71095031304742,0.0043053993811974,1,0,1,0,3,26,64240.0,0,31,27,0,2857,0,benign
57.144.112.128,192.168.154.39,443.0,45532.0,6,0.1053032875061035,284.8913904825731,546716.0747157405,30,57571,1919.0333333333333,66,2826,1114.100208559645,0.0036758554392847,1,0,1,0,22,30,65535.0,0,54,30,0,57571,0,benign
192.168.157.197,224.0.0.251,5353.0,5353.0,17,10.056763410568236,4.872342919841181,383.6224282601485,49,3858,78.73469387755102,69,81,3.790203986397487,0.2090585728486379,0,0,0,0,0,0,,0,0,49,0,3858,0,benign
192.168.154.232,224.0.0.251,5353.0,5353.0,17,0.005312442779541,376.4746432097657,52329.97540615744,2,278,139.0,139,139,0.0,4.76837158203125e-07,0,0,0,0,0,0,,0,0,2,0,278,0,benign
192.168.156.213,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,132000000.0,1,132,132.0,132,132,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,132,0,benign
192.168.154.39,99.86.114.112,35590.0,443.0,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,863.0,0,1,1,0,66,0,benign
192.168.154.133,224.0.0.251,5353.0,5353.0,17,10.044836282730104,4.977681924588861,396.5221421127487,50,3983,79.66,72,81,2.861496682735474,0.204758663566745,0,0,0,0,0,0,,0,0,50,0,3983,0,benign
192.168.159.41,224.0.0.251,5353.0,5353.0,17,0.7856175899505615,7.637303538961719,1661.1135197241738,6,1305,217.5,93,385,138.40195085330265,0.1565267086029052,0,0,0,0,0,0,,0,0,6,0,1305,0,benign
192.168.159.92,224.0.0.251,5353.0,5353.0,17,15.015336513519289,1.1321757580786678,213.51502825883583,17,3206,188.58823529411765,83,310,113.66785980628462,0.9388273656368256,0,0,0,0,0,0,,0,0,17,0,3206,0,benign
192.168.157.222,192.168.159.255,57621.0,57621.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.157.6,224.0.0.252,57865.0,5355.0,17,0.4156258106231689,4.812020689959794,360.9015517469845,2,150,75.0,75,75,0.0,0.4113163948059082,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.157.6,239.255.255.250,53198.0,1900.0,17,3.0149905681610107,1.3267039844969712,281.2612447133579,4,848,212.0,212,212,0.0,1.00489075978597,0,0,0,0,0,0,,0,0,4,0,848,0,benign
192.168.157.237,224.0.0.251,40928.0,5353.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.157.237,224.0.0.251,52072.0,5353.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.156.30,192.168.154.39,,,1,15.000401973724363,473.45397892938496,28407.238735763098,7102,426120,60.0,60,60,0.0,0.0021124802715525,0,0,0,0,0,0,,0,0,7102,0,426120,0,ICMP flood
192.168.154.39,192.168.156.30,,,1,15.000617265701294,473.3805198960938,19881.98183563594,7101,298242,42.0,42,42,0.0,0.0021127757891802,0,0,0,0,0,0,,0,0,7101,0,298242,0,ICMP flood
192.168.159.52,239.255.255.250,59084.0,1900.0,17,3.028615713119507,1.3207354048493518,279.9959058280626,4,848,212.0,212,212,0.0,1.0094770590464277,0,0,0,0,0,0,,0,0,4,0,848,0,benign
57.144.112.128,192.168.154.39,443.0,45538.0,6,0.1150944232940673,147.7048106541603,236961.958880642,17,27273,1604.2941176470588,66,2826,1295.0725252232924,0.0075112432241439,1,0,1,0,11,17,65535.0,0,30,17,0,27273,0,benign
192.168.157.6,224.0.0.252,50721.0,5355.0,17,0.412391185760498,4.8497641779413,363.7323133455976,2,150,75.0,75,75,0.0,0.4127407073974609,0,0,0,0,0,0,,0,0,2,0,150,0,benign
