src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
53538.0,443.0,6,5.46071720123291,1.831261285192029,365.3366263958098,10,1995,199.5,66,583,205.6784167362028,0.6066916783650717,1,0,1,0,4,9,64240.0,0,15,10,0,1995,0,benign
443.0,53538.0,6,5.463681697845459,1.8302676753558664,1063.934599684365,10,5813,581.3,66,2762,870.470122022194,0.6067376136779785,1,0,1,0,5,10,43136.0,0,17,10,0,5813,0,benign
53538.0,443.0,6,0.0002789497375488,7169.750427350427,387166.5230769231,2,108,54.0,54,54,0.0,0.0003407001495361,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
80.0,33110.0,6,0.2121269702911377,18.856630981483043,2559.787655736323,4,543,135.75,66,337,134.21965827205292,0.0697296460469563,1,0,1,0,1,4,65160.0,0,7,4,0,543,0,benign
33110.0,80.0,6,0.2133820056915283,23.43215391474085,1996.4195135359205,5,426,85.2,66,154,38.61605883567094,0.0546045899391174,1,0,1,0,1,4,64240.0,0,7,5,0,426,0,benign
40156.0,443.0,6,5.3476951122283936,1.4959715975031318,266.46994080524536,8,1425,178.125,66,583,194.83944855774385,0.7642151968819755,1,0,1,0,3,7,64240.0,0,12,8,0,1425,0,benign
443.0,40156.0,6,5.350743293762207,1.3082294581690108,699.7158701978252,7,3744,534.8571428571429,66,2946,1071.8481591113905,0.8914198080698649,1,0,1,0,3,7,43200.0,0,12,7,0,3744,0,benign
40156.0,443.0,6,0.0007693767547607,2599.5066625348622,140373.35977688254,2,108,54.0,54,54,0.0,0.0002274513244628,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
57621.0,57621.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
62377.0,5355.0,17,0.4137160778045654,4.834233203150438,348.0647906268315,2,144,72.0,72,72,0.0,0.4177274703979492,0,0,0,0,0,0,,0,0,2,0,144,0,benign
137.0,137.0,17,2.3159725666046143,5.181408524882866,569.9549377371153,12,1320,110.0,110,110,0.0,0.2104368860071355,0,0,0,0,0,0,,0,0,12,0,1320,0,benign
53430.0,443.0,6,3.999291896820069,2.500442642846659,391.3192736055021,10,1565,156.5,66,583,179.32047661472834,0.4446494314405653,1,0,1,0,3,9,64240.0,0,14,10,0,1565,0,benign
53706.0,1900.0,17,3.0263991355896,1.321702730139303,280.2009787895322,4,848,212.0,212,212,0.0,1.009386618932088,0,0,0,0,0,0,,0,0,4,0,848,0,benign
5353.0,5353.0,17,14.991676330566406,1.6008883510289371,129.6719564333439,24,1944,81.0,81,81,0.0,0.6517874779908553,0,0,0,0,0,0,,0,0,24,0,1944,0,benign
55797.0,5355.0,17,0.4129621982574463,4.843058295503291,363.2293721627468,2,150,75.0,75,75,0.0,0.4147562980651855,0,0,0,0,0,0,,0,0,2,0,150,0,benign
443.0,53430.0,6,4.0042924880981445,2.497320070829677,2525.539787630052,10,10113,1011.3,66,2738,1170.405822306472,0.4445586734347873,1,0,1,0,6,10,42752.0,0,18,10,0,10113,0,benign
53430.0,443.0,6,0.0002923011779785,6842.257748776509,369481.9184339315,2,108,54.0,54,54,0.0,0.0003857612609863,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
137.0,137.0,17,15.499264240264893,1.16134544975616,106.84378137756671,18,1656,92.0,92,92,0.0,0.9117134178386016,0,0,0,0,0,0,,0,0,18,0,1656,0,benign
53354.0,53.0,17,1e-06,1000000.0,104000000.0,1,104,104.0,104,104,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,104,0,benign
53.0,53354.0,17,1e-06,1000000.0,169000000.0,1,169,169.0,169,169,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,169,0,benign
55026.0,1900.0,17,0.0315678119659423,63.35567387938522,11340.665624409954,2,358,179.0,179,179,0.0,0.0318484306335449,0,0,0,0,0,0,,0,0,2,0,358,0,benign
50318.0,1900.0,17,1e-06,1000000.0,167000000.0,1,167,167.0,167,167,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,167,0,benign
5353.0,5353.0,17,15.02890658378601,1.131153481141503,213.32223885527404,17,3206,188.58823529411765,83,310,113.66785980628462,0.9392603486776352,0,0,0,0,0,0,,0,0,17,0,3206,0,benign
62436.0,1900.0,17,3.0203278064727783,1.3243595583988317,280.76422638055226,4,848,212.0,212,212,0.0,1.006029446919759,0,0,0,0,0,0,,0,0,4,0,848,0,benign
50882.0,5355.0,17,0.4160895347595215,4.80665778137366,360.4993336030245,2,150,75.0,75,75,0.0,0.4200310707092285,0,0,0,0,0,0,,0,0,2,0,150,0,benign
58644.0,5355.0,17,0.4147951602935791,4.821657028458245,351.98096307745186,2,146,73.0,73,73,0.0,0.4135510921478271,0,0,0,0,0,0,,0,0,2,0,146,0,benign
5353.0,5353.0,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
57621.0,57621.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
59009.0,5355.0,17,0.3990113735198974,5.012388449875267,365.9043568408945,2,146,73.0,73,73,0.0,0.3986430168151855,0,0,0,0,0,0,,0,0,2,0,146,0,benign
41762.0,443.0,6,0.2275779247283935,43.94099301122751,6933.8886971717,10,1578,157.8,66,583,181.17444018894545,0.0250592231750488,1,0,1,0,3,9,64240.0,0,14,10,0,1578,0,benign
443.0,41762.0,6,0.230039358139038,47.817904244679255,47100.635681009066,11,10835,985.0,66,2954,1301.7618061688552,0.0226096153259277,1,0,1,0,5,11,65535.0,0,18,11,0,10835,0,benign
41762.0,443.0,6,0.0044586658477783,448.5646756857922,24222.492487032778,2,108,54.0,54,54,0.0,0.0010774135589599,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
5353.0,5353.0,17,2.040783643722534,1.9600313890715608,192.08307612901297,4,392,98.0,79,117,21.93931022920578,0.6732589403788248,0,0,0,0,0,0,,0,0,4,0,392,0,benign
60630.0,5355.0,17,1e-06,1000000.0,73000000.0,1,73,73.0,73,73,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,73,0,benign
