src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
60640,443,6,0.2087297439575195,91.02679685108444,10348.309536754865,19,2160,113.6842105263158,66,583,133.57313961171607,0.0116004546483357,1,0,1,0,3,18,64240.0,0,23,19,0,2160,0,benign
443,60640,6,0.2145023345947265,93.23907843608006,164180.0312641716,20,35217,1760.85,66,2866,1060.5075386218073,0.011301178681223,1,0,1,0,16,20,65535.0,0,38,20,0,35217,0,benign
56890,443,6,0.183915376663208,65.24739919911538,10961.563065451382,12,2016,168.0,66,685,219.93098090909425,0.0163534771312366,1,0,1,0,3,11,64240.0,0,16,12,0,2016,0,benign
51354,443,6,0.4332044124603271,23.083790728737785,3451.026713946299,10,1495,149.5,66,583,168.9610408743191,0.0475238429175482,1,0,1,0,3,9,64240.0,0,14,10,0,1495,0,benign
443,56890,6,0.1823935508728027,76.75709987006773,81680.51956173351,14,14898,1064.142857142857,66,2866,1106.178303692691,0.0140095490675706,1,0,1,0,10,14,65535.0,0,26,14,0,14898,0,benign
443,51354,6,0.4318318367004394,18.525729971941782,16027.072141976134,8,6921,865.125,66,2866,1105.2983356154507,0.0613359383174351,1,0,1,0,4,8,65535.0,0,14,8,0,6921,0,benign
53480,443,6,0.185647964477539,193.9154038198761,17490.092116753825,36,3247,90.19444444444444,66,583,96.76062346826964,0.006426089150565,0,0,1,0,3,36,502.0,0,40,36,0,3247,0,benign
443,53480,6,0.2173843383789062,165.60530656652512,394490.2408310813,36,85756,2382.1111111111118,66,2866,928.011446289562,0.0073848247528076,1,0,1,0,32,36,65535.0,0,70,36,0,85756,0,benign
48370,443,6,0.2308211326599121,134.3031274596285,12771.794185515642,31,2948,95.09677419354838,66,583,105.78542900252052,0.0076865355173746,1,0,1,0,3,30,64240.0,0,35,31,0,2948,0,benign
443,48370,6,0.2306559085845947,156.07664343355304,377206.89894267457,36,87005,2416.805555555556,66,2866,927.968559179349,0.0065957137516566,1,0,1,0,31,36,65535.0,0,69,36,0,87005,0,benign
5353,5353,17,0.7728416919708252,7.763556317335039,1834.7871429968477,6,1418,236.33333333333331,86,425,166.01526034273675,0.1544100284576416,0,0,0,0,0,0,,0,0,6,0,1418,0,benign
137,137,17,0.751044511795044,2.662958011929111,244.9921370974782,2,184,92.0,92,92,0.0,0.7510924339294434,0,0,0,0,0,0,,0,0,2,0,184,0,benign
137,137,17,14.658131837844849,1.2279873178331635,112.97483324065108,18,1656,92.0,92,92,0.0,0.862230988109813,0,0,0,0,0,0,,0,0,18,0,1656,0,benign
60640,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,800.0,0,1,1,0,66,0,benign
137,137,17,1.5170838832855225,1.9774779977907035,181.9279757967447,3,276,92.0,92,92,0.0,0.7591580152511597,0,0,0,0,0,0,,0,0,3,0,276,0,benign
5353,5353,17,10.016306400299072,2.096581230719237,166.4286148385223,21,1667,79.38095238095238,74,81,2.539216227031296,0.5006125688552856,0,0,0,0,0,0,,0,0,21,0,1667,0,benign
5353,5353,17,10.011700630187988,1.498246956643004,118.96080835745452,15,1191,79.4,74,81,2.613153540948451,0.7150109665734428,0,0,0,0,0,0,,0,0,15,0,1191,0,benign
55148,5355,17,0.4272680282592773,4.680902542949804,351.0676907212353,2,150,75.0,75,75,0.0,0.4253685474395752,0,0,0,0,0,0,,0,0,2,0,150,0,benign
5353,5353,17,0.7911531925201416,7.583866255898663,1400.4873019226195,6,1108,184.66666666666663,88,321,108.09933703157787,0.1589223384857177,0,0,0,0,0,0,,0,0,6,0,1108,0,benign
137,137,17,1.508545160293579,1.9886709917362817,182.9577312397379,3,276,92.0,92,92,0.0,0.754335880279541,0,0,0,0,0,0,,0,0,3,0,276,0,benign
137,137,17,1.5271222591400146,1.9644792563559537,180.7320915847477,3,276,92.0,92,92,0.0,0.7636854648590088,0,0,0,0,0,0,,0,0,3,0,276,0,benign
58231,51007,17,14.02718472480774,0.3564507132466334,66.29983266387381,5,930,186.0,186,186,0.0,3.506713092327118,0,0,0,0,0,0,,0,0,5,0,930,0,benign
137,137,17,1.5258169174194336,1.966159875244932,180.88670852253367,3,276,92.0,92,92,0.0,0.7637314796447754,0,0,0,0,0,0,,0,0,3,0,276,0,benign
138,138,17,9.81486678123474,0.4075450119860707,88.94669886595993,4,873,218.25,216,225,4.5,3.272278308868408,0,0,0,0,0,0,,0,0,4,0,873,0,benign
137,137,17,9.811542510986328,1.0192077330147271,93.7671114373549,10,920,92.0,92,92,0.0,1.0905747678544786,0,0,0,0,0,0,,0,0,10,0,920,0,benign
137,137,17,1.5232386589050293,1.9694878294098257,181.192880305704,3,276,92.0,92,92,0.0,0.7615610361099243,0,0,0,0,0,0,,0,0,3,0,276,0,benign
51127,5355,17,0.4227266311645508,4.731189976108884,354.8392482081663,2,150,75.0,75,75,0.0,0.422684907913208,0,0,0,0,0,0,,0,0,2,0,150,0,benign
58404,443,6,1.245389699935913,8.029615148185819,1195.6096955648686,10,1489,148.9,66,583,168.39269580358882,0.1380142635769314,1,0,1,0,3,9,64240.0,0,14,10,0,1489,0,benign
443,58404,6,1.2435252666473389,6.433323242051007,7621.879711019929,8,9478,1184.75,66,2866,1313.4502818367898,0.1775345802307129,1,0,1,0,4,8,65535.0,0,14,8,0,9478,0,benign
53291,1900,17,3.0193886756896973,1.3247714784802618,280.8515534378155,4,848,212.0,212,212,0.0,1.0062026977539062,0,0,0,0,0,0,,0,0,4,0,848,0,benign
33536,53,17,1e-06,1000000.0,85000000.0,1,85,85.0,85,85,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,85,0,benign
34314,53,17,1e-06,1000000.0,85000000.0,1,85,85.0,85,85,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,85,0,benign
53,33536,17,1e-06,1000000.0,132000000.0,1,132,132.0,132,132,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,132,0,benign
53,34314,17,1e-06,1000000.0,144000000.0,1,144,144.0,144,144,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,144,0,benign
41552,8000,6,0.0026538372039794,1507.2514598868026,173333.9178869823,4,460,115.0,66,234,79.75796720913425,0.0006067752838134,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
