src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
104.81.96.242,192.168.154.39,443,34948,6,0.0002334117889404297,8568.547497446374,668346.7048008172,2,156,78.0,66,90,16.97056274847714,2.384185791015625e-07,0,0,1,0,1,2,502,0,4,2,0,156,0,benign
192.168.159.87,239.255.255.250,58933,1900,17,3.020879030227661,1.324117900774911,280.71299496428117,4,848,212.0,212,212,0.0,1.0038429101308186,0,0,0,0,0,0,,0,0,4,0,848,0,benign
192.168.152.190,224.0.0.251,5353,5353,17,0.5365602970123291,7.454893741249156,2079.9153538085143,4,1116,279.0,93,497,216.35772846530503,0.17647409439086914,0,0,0,0,0,0,,0,0,4,0,1116,0,benign
192.168.157.6,192.168.159.255,137,137,17,14.75243091583252,1.152352456147099,106.0164259655331,17,1564,92.0,92,92,0.0,0.921865701675415,0,0,0,0,0,0,,0,0,17,0,1564,0,benign
192.168.155.18,224.0.0.251,5353,5353,17,0.7745230197906494,7.74670325695649,2110.9766375206436,6,1635,272.5,93,495,198.03812764212856,0.15398716926574707,0,0,0,0,0,0,,0,0,6,0,1635,0,benign
192.168.155.253,192.168.159.255,137,137,17,15.045306205749512,1.3293182422805772,122.2972782898131,20,1840,92.0,92,92,0.0,0.7918834686279297,0,0,0,0,0,0,,0,0,20,0,1840,0,benign
192.168.159.92,224.0.0.251,5353,5353,17,15.017068147659302,1.9311359391094065,269.4267589529882,29,4046,139.51724137931035,70,310,104.48055891943834,0.5364011355808803,0,0,0,0,0,0,,0,0,29,0,4046,0,benign
192.168.154.119,239.255.255.250,49152,3702,17,1.9939205646514893,1.0030489857300675,700.1281920395872,2,1396,698.0,698,698,0.0,1.9959096908569336,0,0,0,0,0,0,,0,0,2,0,1396,0,benign
192.168.155.21,192.168.159.255,137,137,17,2.2730727195739746,1.7597325266169623,161.89539244876053,4,368,92.0,92,92,0.0,0.7580444812774658,0,0,0,0,0,0,,0,0,4,0,368,0,benign
192.168.155.253,224.0.0.252,54424,5355,17,0.4219632148742676,4.739749649968754,355.48122374765654,2,150,75.0,75,75,0.0,0.42011070251464844,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.152.134,239.255.255.250,58918,3702,17,6.404089689254761,1.0930515248318742,762.9499643326483,7,4886,698.0,698,698,0.0,1.067548672358195,0,0,0,0,0,0,,0,0,7,0,4886,0,benign
192.168.157.6,224.0.0.251,5353,5353,17,13.978852272033691,1.5738058870550868,127.47827685146204,22,1782,81.0,81,81,0.0,0.6657859370821998,0,0,0,0,0,0,,0,0,22,0,1782,0,benign
192.168.155.222,224.0.0.251,5353,5353,17,1.8609769344329834,1.0747043464079125,104.78367377477147,2,195,97.5,87,108,14.849242404917497,1.8642282485961914,0,0,0,0,0,0,,0,0,2,0,195,0,benign
192.168.158.248,224.0.0.252,54118,5355,17,0.4141716957092285,4.82891520767781,347.68189495280234,2,144,72.0,72,72,0.0,0.41446876525878906,0,0,0,0,0,0,,0,0,2,0,144,0,benign
192.168.157.222,192.168.159.255,62091,1947,17,1e-06,1000000.0,82000000.0,1,82,82.0,82,82,0,0,0,0,0,0,0,0,,0,0,1,0,82,0,benign
192.168.158.248,224.0.0.252,55999,5355,17,0.4172475337982178,4.79331772627614,345.1188762918821,2,144,72.0,72,72,0.0,0.4172053337097168,0,0,0,0,0,0,,0,0,2,0,144,0,benign
192.168.158.248,239.255.255.250,56002,1900,17,3.0652003288269043,1.3049718031091484,233.58995275653757,4,716,179.0,179,179,0.0,1.0215361913045247,0,0,0,0,0,0,,0,0,4,0,716,0,benign
192.168.155.222,239.255.255.250,53592,1900,17,1e-06,1000000.0,167000000.0,1,167,167.0,167,167,0,0,0,0,0,0,0,0,,0,0,1,0,167,0,benign
192.168.157.6,224.0.0.252,55383,5355,17,0.4151437282562256,4.817608610879954,361.32064581599656,2,150,75.0,75,75,0.0,0.4136180877685547,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.155.253,224.0.0.252,53647,5355,17,0.403928279876709,4.951374042467291,371.35305318504686,2,150,75.0,75,75,0.0,0.417283296585083,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.157.197,224.0.0.251,5353,5353,17,10.025517702102661,3.4910915366155524,271.90615796611416,35,2726,77.88571428571429,70,81,4.437616136484759,0.29466333810020895,0,0,0,0,0,0,,0,0,35,0,2726,0,benign
192.168.154.133,224.0.0.251,5353,5353,17,10.022705793380737,4.090711714503033,321.27052977316504,41,3220,78.53658536585365,70,81,4.123697133493255,0.2505399286746979,0,0,0,0,0,0,,0,0,41,0,3220,0,benign
192.168.154.89,224.0.0.251,5353,5353,17,1e-06,1000000.0,83000000.0,1,83,83.0,83,83,0,0,0,0,0,0,0,0,,0,0,1,0,83,0,benign
192.168.154.39,224.0.0.251,5353,5353,17,10.005558252334595,0.19988889670732168,19.389222980610203,2,194,97.0,91,103,8.48528137423857,10.008822441101074,0,0,0,0,0,0,,0,0,2,0,194,0,benign
192.168.154.39,192.168.154.133,5353,5353,17,10.005795955657959,0.19988414803412652,19.388762359310274,2,194,97.0,91,103,8.48528137423857,10.011073350906372,0,0,0,0,0,0,,0,0,2,0,194,0,benign
192.168.158.248,224.0.0.252,51513,5355,17,0.4115614891052246,4.859541169287238,349.88696418868113,2,144,72.0,72,72,0.0,0.4136958122253418,0,0,0,0,0,0,,0,0,2,0,144,0,benign
192.168.158.248,224.0.0.252,65045,5355,17,0.40435004234313965,4.946209448650829,356.12708030285967,2,144,72.0,72,72,0.0,0.40448880195617676,0,0,0,0,0,0,,0,0,2,0,144,0,benign
192.168.158.248,192.168.159.255,137,137,17,2.2975761890411377,5.222895352605494,574.5184887866044,12,1320,110.0,110,110,0.0,0.20855043151161887,0,0,0,0,0,0,,0,0,12,0,1320,0,benign
192.168.159.150,224.0.0.251,5353,5353,17,0.7737102508544922,7.754841031734489,1601.3746730531718,6,1239,206.5,93,363,126.54445859064711,0.15407586097717285,0,0,0,0,0,0,,0,0,6,0,1239,0,benign
192.168.155.253,224.0.0.252,60959,5355,17,0.4173848628997803,4.791740615855125,359.38054618913435,2,150,75.0,75,75,0.0,0.4183218479156494,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.158.250,224.0.0.251,5353,5353,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0,0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
192.168.157.6,224.0.0.252,57545,5355,17,0.4142470359802246,4.828036959316895,362.1027719487671,2,150,75.0,75,75,0.0,0.41222071647644043,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.157.237,224.0.0.251,60863,5353,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.157.237,224.0.0.251,39819,5353,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.159.92,192.168.159.255,137,137,17,1.5072364807128906,1.9903976837006123,183.11658690045633,3,276,92.0,92,92,0.0,0.7547781467437744,0,0,0,0,0,0,,0,0,3,0,276,0,benign
192.168.159.92,224.0.0.252,50547,5355,17,0.4122474193572998,4.851455475738408,310.49315044725813,2,128,64.0,64,64,0.0,0.4144108295440674,0,0,0,0,0,0,,0,0,2,0,128,0,benign
192.168.159.92,224.0.0.252,49257,5355,17,0.4120750427246094,4.853484905992242,310.6230339835035,2,128,64.0,64,64,0.0,0.41191959381103516,0,0,0,0,0,0,,0,0,2,0,128,0,benign
192.168.155.209,239.255.255.250,64434,3702,17,7.803713083267212,0.897008888628858,626.1122042629428,7,4886,698.0,698,698,0.0,1.300045410792033,0,0,0,0,0,0,,0,0,7,0,4886,0,benign
192.168.155.57,239.255.255.250,60899,1900,17,6.023589372634888,0.49804191727095026,89.1495031915001,3,537,179.0,179,179,0.0,3.0112240314483643,0,0,0,0,0,0,,0,0,3,0,537,0,benign
192.168.158.250,192.168.159.255,57621,57621,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.158.250,239.255.255.250,51099,1900,17,1e-06,1000000.0,167000000.0,1,167,167.0,167,167,0,0,0,0,0,0,0,0,,0,0,1,0,167,0,benign
192.168.155.93,224.0.0.251,5353,5353,17,0.8007156848907471,7.493296451184998,2124.349543910947,6,1701,283.5,93,517,210.0073808226749,0.15913219451904298,0,0,0,0,0,0,,0,0,6,0,1701,0,benign
192.168.155.253,224.0.0.252,62370,5355,17,0.41944169998168945,4.768243119573731,357.61823396802987,2,150,75.0,75,75,0.0,0.42021918296813965,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.157.6,224.0.0.252,61566,5355,17,0.4079935550689697,4.902038218868207,367.6528664151155,2,150,75.0,75,75,0.0,0.41251111030578613,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.156.226,192.168.159.255,57621,57621,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.155.253,224.0.0.252,60001,5355,17,0.4178447723388672,4.78646648803356,358.984986602517,2,150,75.0,75,75,0.0,0.4203951358795166,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.156.226,239.255.255.250,50911,1900,17,3.0102624893188477,1.328787776545396,281.70300862762394,4,848,212.0,212,212,0.0,1.0057857036590576,0,0,0,0,0,0,,0,0,4,0,848,0,benign
192.168.156.213,192.168.159.255,57621,57621,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.152.134,239.255.255.250,58919,3702,17,6.408277988433838,1.0923371321647013,762.4513182509615,7,4886,698.0,698,698,0.0,1.0679103533426921,0,0,0,0,0,0,,0,0,7,0,4886,0,benign
192.168.157.6,224.0.0.252,51910,5355,17,0.416989803314209,4.796280350512469,359.7210262884352,2,150,75.0,75,75,0.0,0.4180562496185303,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.153.125,239.255.255.250,54218,1900,17,3.030668020248413,1.3198410295272571,279.80629825977854,4,848,212.0,212,212,0.0,1.010354995727539,0,0,0,0,0,0,,0,0,4,0,848,0,benign
192.168.156.30,192.168.154.39,45152,554,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,554,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.156.30,192.168.154.39,45152,8888,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,8888,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.155.253,224.0.0.252,60142,5355,17,0.4174163341522217,4.79137934087325,359.35345056549374,2,150,75.0,75,75,0.0,0.4195725917816162,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.156.30,192.168.154.39,45152,1025,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,1025,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.156.30,192.168.154.39,45152,113,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,113,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.154.209,224.0.0.251,5353,5353,17,1e-06,1000000.0,139000000.0,1,139,139.0,139,139,0,0,0,0,0,0,0,0,,0,0,1,0,139,0,benign
192.168.154.232,224.0.0.251,5353,5353,17,1e-06,1000000.0,139000000.0,1,139,139.0,139,139,0,0,0,0,0,0,0,0,,0,0,1,0,139,0,benign
192.168.156.136,224.0.0.251,5353,5353,17,1e-06,1000000.0,132000000.0,1,132,132.0,132,132,0,0,0,0,0,0,0,0,,0,0,1,0,132,0,benign
192.168.154.119,192.168.159.255,57621,57621,17,10.622370719909668,0.2824228299975499,24.288363379789292,3,258,86.0,86,86,0.0,5.307658791542053,0,0,0,0,0,0,,0,0,3,0,258,0,benign
192.168.156.30,192.168.154.39,45152,3306,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,3306,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.156.30,192.168.154.39,45152,3389,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,3389,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
